字號,字,頻次
2088,伃,1
2091,予,2
2095,狳,1
2098,胥,11
2109,疽,3
2113,趄,1
2116,狙,1
2118,蛆,263
2125,鉏,296
2126,鋤,415
2131,攄,1
2135,疏,202
2136,梳,318
2138,蔬,174
2139,踈,1
2146,虛,311
2149,噓,164
2152,徐,355
2156,於,198
2157,扵,146
2159,淤,161
2161,豬,415
2162,䐗,324
2163,猪,324
2164,瀦,1
2168,閭,2
2170,廬,171
2171,蘆,1
2172,櫚,2
2173,驢,254
2184,諸,233
2185,櫧,2
2188,𧄔,2
2191,除,379
2192,躇,9
2193,儲,198
2194,涂,7
2204,如,308
2206,𨚴,1
2211,茹,17
2213,且,2
2218,虛,4
2219,墟,189
2221,袪,1
2230,菹,1
2231,𧂚,1
2234,蜍,5
2235,𧄔,48
2241,挐,2
2242,虞,171
2243,𩦢,126
2244,愚,223
2245,娛,187
2249,嵎,1
2251,禺,1
2252,隅,4
2262,芻,2
2264,無,276
2265,毋,2
2268,蕪,5
2269,誣,153
2270,巫,165
2286,于,189
2287,迂,2
2288,盂,195
2290,雩,1
2292,竽,1
2307,吁,141
2326,衢,11
2332,臞,1
2333,癯,1
2345,瞿,181
2350,蚼,1
2362,儒,242
2364,濡,2
2365,襦,2
2366,懦,3
2378,須,340
2379,鬚,263
2386,需,194
2392,株,187
2393,誅,168
2395,鼄,3
2396,蛛,185
2405,殊,243
2406,銖,2
2407,洙,1
2408,茱,8
2417,逾,138
2418,踰,2
2420,臾,1
2422,腴,1
2423,諛,1
2426,覦,1
2428,俞,23
2430,愉,194
2434,瑜,4
2439,榆,164
2443,渝,1
2448,瘉,1
2462,區,294
2464,驅,177
2465,敺,131
2466,嶇,1
2467,軀,31
2470,朱,340
2471,珠,269
2472,侏,12
2479,硃,145
2480,趨,185
2481,趍,55
2482,鯫,1
2483,趣,3
2487,瞜,3
2492,摟,1
2496,婁,1
2500,扶,330
2501,𢻳,198
2502,芙,158
2503,符,307
2505,鳧,1
2507,苻,1
2508,蚨,1
2509,夫,1
2527,雛,122
2528,鶵,108
2532,敷,179
2533,麩,177
2534,麱,124
2535,孚,11
2539,鋪,1
2541,俘,151
2547,孵,146
2552,稃,1
2553,𥹃,1
2554,莩,1
2575,跗,63
2576,趺,64
2577,膚,194
2578,肤,148
2587,夫,311
2590,扶,1
2596,紆,1
2603,迂,172
2608,輸,336
2611,樞,136
2612,姝,2
2616,廚,337
2617,躕,7
2621,拘,230
2622,駒,170
2629,跔,7
2631,俱,147
2632,痀,6
2640,模,288
2641,橅,218
2642,摸,153
2643,嫫,1
2646,謨,2
2651,膜,1
2653,匍,1
2657,菩,179
2658,䔕,123
2659,蒲,197
2662,胡,332
2665,壺,211
2666,狐,192
2669,瑚,3
2670,湖,267
2672,猢,1
2674,𪏻,8
2675,䊀,8
2676,𪍒,8
2677,糊,87
2678,弧,7
2679,乎,146
2680,𠂞,2
2682,瓠,125
2683,葫,36
2692,孤,206
2694,菰,19
2697,姑,260
2698,辜,18
2699,呱,2
2703,蛄,1
2705,鴣,6
2708,沽,15
2717,箍,255
2721,徒,209
2722,𨑒,6
2723,屠,186
2725,塗,262
2726,途,189
2731,涂,24
2734,荼,2
2735,圖,264
2736,啚,6
2752,奴,244
2753,㚢,4
2755,駑,1
2757,孥,6
2759,呼,235
2776,吾,179
2777,鼯,1
2778,𪁙,1
2779,𧋋,1
2780,吳,354
2786,蜈,170
2792,梧,181
2797,租,356
2799,盧,204
2803,蘆,192
2804,顱,3
2805,髗,1
2806,鱸,7
2807,攎,1
2808,櫨,1
2809,轤,1
2812,鸕,137
2813,艫,1
2815,瀘,2
2817,爐,292
2833,蘇,302
2834,穌,1
2836,酥,193
2837,徂,2
2838,䢐,1
2839,殂,1
2840,𣨐,1
2842,烏,362
2843,嗚,2
2844,洿,130
2845,污,158
2846,杇,2
2847,圬,1
2848,釫,1
2851,鎢,3
2853,於,1
2855,鄔,1
2866,晡,13
2876,枯,264
2882,跍,1
2883,挎,1
2887,麤,84
2888,麁,280
2891,觕,82
2893,粗,346
2906,都,285
2914,鋪,273
2925,齊,341
2926,臍,213
2928,蠐,1
2933,𨥦,1
2934,黎,180
2935,犂,363
2936,𤛿,293
2937,莉,6
2939,藜,2
2955,妻,305
2956,萋,3
2957,淒,42
2958,凄,5
2959,悽,8
2965,低,321
2973,隄,4
2974,堤,190
2983,䚣,1
2987,䬫,2
2989,嗁,159
2990,啼,224
2991,㖒,160
2992,蹏,148
2993,蹄,207
2995,提,271
2998,隄,43
3000,題,257
3003,綈,1
3007,締,1
3042,銻,1
3053,𦱔,142
3054,蓖,169
3056,篦,37
3066,雞,406
3067,鷄,291
3068,稽,174
3070,笄,3
3076,奚,142
3078,徯,1
3080,蹊,6
3089,嵇,1
3090,兮,123
3091,鼷,1
3106,倪,157
3108,霓,14
3114,猊,2
3115,麑,2
3116,貎,2
3117,鯢,2
3118,兒,1
3130,西,378
3131,卤,261
3132,卥,261
3133,棲,143
3134,栖,120
3136,犀,181
3137,嘶,2
3138,撕,48
3144,粞,1
3146,梯,376
3162,磇,5
3164,𠜱,5
3167,批,285
3169,齎,1
3177,擠,12
3185,迷,239
3191,泥,397
3192,埿,284
3195,谿,184
3196,嵠,185
3197,溪,255
3198,磎,185
3204,圭,148
3205,珪,3
3207,閨,218
3212,洼,12
3220,奎,206
3229,蝰,1
3234,攜,128
3235,携,112
3240,畦,119
3263,佳,233
3264,街,381
3266,鮭,13
3267,膎,4
3268,鞵,323
3269,鞋,425
3273,牌,379
3275,𥱼,77
3284,蝸,1
3287,蛙,170
3288,鼃,164
3289,咼,1
3290,喎,1
3295,柴,310
3302,查,1
3303,釵,198
3306,叉,6
3310,差,239
3312,竵,239
3319,崖,183
3320,涯,176
3327,娃,16
3328,洼,14
3329,哇,1
3332,崽,2
3333,籭,50
3341,皆,192
3342,偕,12
3343,䕸,99
3344,稭,100
3346,階,344
3351,堦,268
3355,街,327
3359,鍇,1
3360,𢰇,304
3361,諧,149
3363,骸,2
3368,鞋,317
3370,排,381
3373,牌,287
3376,乖,282
3377,𦮃,230
3380,懷,273
3383,槐,196
3388,淮,224
3392,匯,4
3395,豺,268
3396,儕,8
3399,差,9
3404,埋,347
3405,薶,5
3406,霾,2
3408,齋,298
3410,崴,1
3418,揩,215
3423,崽,6
3427,搋,1
3432,灰,388
3434,鼿,1
3437,虺,8
3438,恢,198
3439,詼,19
3441,魁,182
3445,盔,175
3447,煨,152
3451,偎,2
3453,揋,1
3457,回,299
3458,洄,1
3459,迴,11
3460,槐,1
3461,徊,4
3463,蚘,1
3469,茴,158
3470,枚,173
3471,梅,292
3472,媒,238
3473,玫,6
3474,煤,195
3480,莓,5
3483,䊈,1
3485,傀,2
3488,瑰,11
3495,雷,369
3496,𩂩,269
3504,鐳,15
3509,頹,37
3521,崔,185
3522,催,260
3523,縗,8
3531,堆,373
3543,挼,1
3548,摧,23
3549,崔,1
3553,裴,136
3554,徘,5
3555,培,204
3556,陪,236
3562,𤗏,2
3565,桮,276
3566,杯,333
3567,盃,276
3568,肧,209
3569,坏,177
3577,桅,176
3578,嵬,1
3585,推,328
3589,捼,15
3592,脧,5
3595,咍,6
3598,開,409
3603,哀,326
3604,埃,169
3605,唉,11
3609,臺,251
3610,擡,158
3611,菭,174
3612,苔,255
3624,該,333
3626,垓,5
3638,賅,6
3645,裁,216
3646,纔,116
3647,財,292
3648,才,237
3649,材,187
3654,來,450
3655,萊,10
3658,崍,1
3678,徠,4
3679,烖,192
3680,灾,192
3681,災,294
3682,𤆎,193
3683,栽,281
3684,哉,24
3691,猜,225
