,IPA,beh-oe-ji,jyutping,other,pinyin,quoc ngu,romaja,romaji
ɟ,5.156018339771402e-05,-8.353772140747326e-06,-0.00010793902152259347,-5.859012535348491e-05,-6.139065823571681e-07,-1.7555543900594987e-07,-1.391038761394233e-06,-4.534788352473855e-06
ɡ,-0.0021883672716806056,0.00017839370283513682,-0.00040197023279367537,0.0034748672213880515,-6.33852462698509e-06,7.072046337210478e-08,-0.00010843029695507272,-0.000514771759750607
ɢ,-0.0008081066054289516,5.0518277331661765e-05,-2.568992091775928e-05,0.0009238930527984514,-8.916000908436264e-07,-3.737228147350013e-07,-8.213243989302663e-06,-5.8428988784232616e-05
ɣ,0.0014966008116179738,-0.00019557217533133715,-0.0005177036374563057,-0.0003892305384369665,-5.831625933858746e-06,2.2177595464493863e-06,3.888814613179666e-05,-0.00040868293709033117
ɤ,-0.0015870498283252295,-0.0001568375250587594,-0.00014051283998431875,0.0020224087117449675,-4.8762932052177536e-06,-1.46693537936541e-06,-4.098911259189784e-05,0.00012444945781908532
ɥ,0.0003025681538770327,-2.6772400924763007e-05,-0.0014531321220522945,-0.00011562792193294593,-2.7954392321119476e-06,-1.9644829102350716e-07,-4.309602246423262e-06,-1.7996562279500695e-05
ɦ,0.00012014114864696049,-3.965114386364274e-05,-7.108247448066793e-05,-0.00040293590115538273,-2.8077316837466672e-06,-1.1285112415130655e-06,-1.0892720879172065e-05,-2.2301275443617966e-05
ɨ,0.0006050011043842865,-0.00011389931927971102,-0.0008753303274465021,-0.00033702933104993614,-6.279049453831938e-06,1.219374812324579e-06,5.812978744235088e-06,-0.00013904899992564864
ɪ,-0.000348688217736743,-0.0001275464144542513,-0.00014291282090304498,0.00034558327890346256,-5.367980350192469e-06,-1.48512877626964e-06,-2.2791849624573715e-05,-6.9332928807636635e-06
ɫ,0.0001269699779433997,-1.3962364300379586e-05,-3.7210735403414134e-05,-3.457979240184423e-05,-1.7986858405610294e-07,1.1036425411982717e-07,6.118694041883397e-05,6.581411752391399e-06
ɯ,-0.0003734795323922051,-0.0003493271849693498,-0.0015206141133006124,0.0013798777379704318,-6.196846494699036e-06,-1.4902817002776617e-06,-7.067570390404278e-05,-0.0007193935520572678
ɱ,1.3351129032223121e-05,-2.476084968282393e-06,-5.121639390864157e-06,-1.5230148047045895e-05,-1.06411554084638e-07,-2.2257719247805973e-08,-9.292789042116046e-07,-4.5156012487434365e-06
ɲ,8.298753928780083e-05,-1.935544052518927e-05,-3.131691706257995e-05,-0.0001981318313367257,-1.0795848284386176e-06,9.006140767048976e-08,-2.4140850293649222e-06,-1.8462117041713368e-05
ɳ,1.707664875942582e-05,-3.0324648943858727e-06,-7.277746481612459e-06,-5.111105991221217e-06,-1.7602113893278562e-07,1.2966964202278815e-07,2.343797547166675e-06,-6.87523191194643e-06
ɴ,6.439451262868887e-05,-1.1482898645187289e-05,-2.6644669723156087e-05,-4.3451331415931985e-05,-5.978360336186307e-07,-4.2704348181163964e-08,2.4573375508958354e-06,-2.518480827979781e-05
ɵ,5.372688116090124e-06,-2.0925499115089162e-06,-2.126179210068833e-06,-1.5708886010181076e-06,-7.74835376004553e-08,-8.453780978171382e-09,-1.0672022385133736e-07,5.146745410936062e-07
ɸ,0.00010474764998736671,-0.00013575950925617057,-9.050814510932432e-06,-4.727320058768848e-05,-3.619985030174161e-07,-2.218442563875495e-07,-2.246062655660138e-06,-9.054117949791186e-06
ɹ,-0.00029000418321239763,-2.412823233590971e-05,-2.118288408951803e-05,0.00038262036727540623,-7.492903472405103e-07,-2.2453805804173492e-07,-6.7097593231115395e-06,2.3260850146150784e-05
