lid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
01016,0.20897438,0.6333333,0.89908254,0.6666667,0.0,0.75,0.33333334,1.0,1.0,1.0,0.4,1.0,0.4666667,0.4,0.5,0.33333334,0.16153847,0.5,0.0,0.6388889,0.26666668,0.25,0.0,1.0,0.0,1.0,0.35,0.33333334,0.33333334,0.6666667,0.33333334,1.0,0.0,0.9230769,0.9230769,0.0,0.041666668,0.0625,0.9,1.0,0.33333334,0.0,0.1638889,0.0625,0.9,0.8666667,0.33333334,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.47916666,0.6666667,0.6666667,0.5,0.33333337,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.5104167,0.0625,0.078125,0.109375,0.453125,0.875,0.0,0.0,0.0,0.0,0.1862069,0.0,0.0,0.0,0.6111111,0.75
01017,0.2955975,0.56666666,0.97196263,0.33333334,0.0,1.0,0.6666667,0.6666667,0.5,1.0,0.5,1.0,0.6666667,0.5,0.5,0.33333334,0.053846154,0.5,0.0,1.0,0.40000004,0.5,0.0,1.0,0.0,1.0,0.25714287,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9285714,0.9230769,1.0,0.5208334,0.0,0.0,0.0,0.8021978,0.73333335,0.140625,0.14285715,0.26666668,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33333334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.2857143,0.71428573,1.0,0.055555556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4722222,1.0
01018,0.41493058,0.34375,0.9813084,1.0,0.0,0.5,0.6666667,0.0,0.5,1.0,0.5,0.5,0.4666667,0.44000003,0.16666667,0.5,0.2857143,0.0,0.0,0.33333334,1.0,0.4166667,0.0,1.0,0.0,0.9,0.44000003,0.22222224,0.33333334,0.44444448,0.25,0.5,0.10909092,0.32307696,0.52747256,1.0,1.0,0.7083333,0.0,0.06666667,0.0,1.0,0.9375,0.8125,0.0,0.0625,0.0,0.75,0.25,0.6666667,0.11111112,0.5,0.0,0.0,0.5,0.33333334,0.0,0.0,0.6666667,0.0,0.75,0.25,0.5,0.0,0.25,0.0,0.6666667,1.0,0.09090909,0.045751635,0.34285715,0.05882353,0.85714287,0.05042017,1.0,0.33333334,0.6666667,0.4,0.33333334,0.06666667,0.20000002,1.0,0.0,0.4298246,0.5
01019,0.5012821,0.4,0.009345794,1.0,1.0,1.0,1.0,0.53333336,0.0,0.06666667,0.5,1.0,0.8,0.3,0.5,0.5,0.07692308,0.0,0.0,0.9583333,1.0,1.0,1.0,1.0,0.0,1.0,0.55,0.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,0.0,0.041666668,0.0,1.0,1.0,0.6666667,0.0,0.041666668,0.0,1.0,1.0,0.33333334,1.0,0.0,0.5,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01020,0.058312654,0.68279564,0.0,0.0,1.0,0.75,1.0,0.33333334,1.0,1.0,0.5,1.0,1.0,0.6,0.5,0.5,0.07692308,0.0,0.0,0.6666667,0.6666667,1.0,0.0,0.45959595,0.8888889,1.0,0.32,1.0,1.0,1.0,1.0,0.75,0.6,0.41538465,0.6923077,1.0,0.9166667,0.6875,0.0,0.0,0.0,1.0,0.9166667,0.46875,0.0,0.0,0.0,1.0,0.0,0.62500006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.125,0.125,1.0,0.875,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,0.0,1.0,1.0
01021,0.4678363,0.46666667,0.008547009,0.0,1.0,1.0,0.33333334,0.8,0.0,0.5,0.0,1.0,0.8333333,0.41666666,0.5,0.0,0.0,0.0,0.0,0.24444446,0.8,0.5,0.0,0.9166667,0.2878788,1.0,0.08677686,0.0,0.0,1.0,1.0,1.0,0.16666667,0.7738095,0.9285714,0.0,0.0,0.0,1.0,1.0,0.33333334,0.71428573,0.875,0.5,0.2857143,0.125,0.16666667,1.0,0.0,1.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,1.0,0.6666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666667,0.0,0.055555556,0.6666667,0.10493827,0.11111111,0.9444444,0.44444445,0.0,0.0,0.0,0.0,0.038095243,0.0,0.0,0.055555556,1.0,1.0
01022,0.43070915,0.4827586,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.40000004,0.8,1.0,0.8,0.35000002,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.90909094,0.5,1.0,0.40000004,0.0,0.0,0.6666667,1.0,0.25,0.0,0.8,1.0,0.90909094,1.0,1.0,0.09090909,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666667,0.125,0.0,0.0,0.875,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
01024,0.45252404,0.46875,0.028037382,0.0,1.0,1.0,0.33333334,1.0,0.0,0.2,0.0,1.0,1.0,0.6,0.5,0.0,0.15384616,0.0,0.0,0.6527778,1.0,0.75,1.0,1.0,0.0,1.0,0.010000001,0.0,0.0,1.0,1.0,0.25,0.0,0.8,1.0,0.07692308,0.041666668,0.0625,1.0,1.0,0.6666667,0.07692308,0.041666668,0.0625,1.0,1.0,0.6666667,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666667,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01026,0.0442217,0.8677885,0.08246709,0.0,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0,1.0,0.6,0.5,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,0.9166667,0.9444444,0.90909094,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.84615386,0.84615386,0.0,0.041666668,0.80357146,0.0,0.0,0.0,0.0,0.041666668,0.375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73333335,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
01027,0.3875,0.49218753,0.09034268,0.0,1.0,1.0,1.0,0.8,0.0,0.8,0.0,1.0,1.0,0.5,0.5,0.0,0.04761905,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9230769,0.9230769,0.0,0.0,0.0,1.0,1.0,0.33333334,0.71428573,0.875,0.5,0.2857143,0.125,0.16666667,1.0,0.0,1.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,1.0,0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666667,0.0,0.94736844,0.25,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
