# 官話
id,北京_聲母,北京_韻母,北京_調值,北京_調類,濟南_聲母,濟南_韻母,濟南_調值,濟南_調類,西安_聲母,西安_韻母,西安_調值,西安_調類,武昌_聲母,武昌_韻母,武昌_調值,武昌_調類,桂林(臨桂)_聲母,桂林(臨桂)_韻母,桂林(臨桂)_調值,桂林(臨桂)_調類,柳州(雒容)_聲母,柳州(雒容)_韻母,柳州(雒容)_調值,柳州(雒容)_調類,合肥_聲母,合肥_韻母,合肥_調值,合肥_調類,廣靈_聲母,廣靈_韻母,廣靈_調值,廣靈_調類,霍州(霍縣)_聲母,霍州(霍縣)_韻母,霍州(霍縣)_調值,霍州(霍縣)_調類,臨汾_聲母,臨汾_韻母,臨汾_調值,臨汾_調類,聞喜_聲母,聞喜_韻母,聞喜_調值,聞喜_調類,新絳_聲母,新絳_韻母,新絳_調值,新絳_調類,吉縣_聲母,吉縣_韻母,吉縣_調值,吉縣_調類,運城_聲母,運城_韻母,運城_調值,運城_調類,永濟_聲母,永濟_韻母,永濟_調值,永濟_調類,萬榮_聲母,萬榮_韻母,萬榮_調值,萬榮_調類,宿州市_聲母,宿州市_韻母,宿州市_調值,宿州市_調類,渦陽_聲母,渦陽_韻母,渦陽_調值,渦陽_調類,臨泉_聲母,臨泉_韻母,臨泉_調值,臨泉_調類,穎上_聲母,穎上_韻母,穎上_調值,穎上_調類,蕭縣_聲母,蕭縣_韻母,蕭縣_調值,蕭縣_調類,蚌埠市_聲母,蚌埠市_韻母,蚌埠市_調值,蚌埠市_調類,鳳陽_聲母,鳳陽_韻母,鳳陽_調值,鳳陽_調類,壽縣_聲母,壽縣_韻母,壽縣_調值,壽縣_調類,懷遠_聲母,懷遠_韻母,懷遠_調值,懷遠_調類,淮南_聲母,淮南_韻母,淮南_調值,淮南_調類,滁縣(滁州)_聲母,滁縣(滁州)_韻母,滁縣(滁州)_調值,滁縣(滁州)_調類,巢縣(巢湖)_聲母,巢縣(巢湖)_韻母,巢縣(巢湖)_調值,巢縣(巢湖)_調類,蕪湖_聲母,蕪湖_韻母,蕪湖_調值,蕪湖_調類,桐城(安徽省志)_聲母,桐城(安徽省志)_韻母,桐城(安徽省志)_調值,桐城(安徽省志)_調類,宣城_聲母,宣城_韻母,宣城_調值,宣城_調類,貴池_聲母,貴池_韻母,貴池_調值,貴池_調類,安慶_聲母,安慶_韻母,安慶_調值,安慶_調類,天長_聲母,天長_韻母,天長_調值,天長_調類,定遠_聲母,定遠_韻母,定遠_調值,定遠_調類,滁州_聲母,滁州_韻母,滁州_調值,滁州_調類,全椒_聲母,全椒_韻母,全椒_調值,全椒_調類,六安_聲母,六安_韻母,六安_調值,六安_調類,含山_聲母,含山_韻母,含山_調值,含山_調類,當塗_聲母,當塗_韻母,當塗_調值,當塗_調類,舒城_聲母,舒城_韻母,舒城_調值,舒城_調類,無為_聲母,無為_韻母,無為_調值,無為_調類,桐城_聲母,桐城_韻母,桐城_調值,桐城_調類,樅陽_聲母,樅陽_韻母,樅陽_調值,樅陽_調類,青陽_聲母,青陽_韻母,青陽_調值,青陽_調類
3404,m,ai,35,陽平,m,ɛ,42,陽平,m,æ,24,陽平,m,ai,213,陽平,m,ai,31,陽平,m,ai,21,陽平,m,ᴇ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,ɛ,24,陽平,m,ɛ,35,陽平,m,ɛ,35,陽平,m,ɛ,24,陽平,m,ɛ,35,陽平,m,ɛ,35,陽平,m,æ,24,陽平,m,ɛ,24,陽平,m,ɛ,21,陽平,m,ɛ,13,陽平,m,ɛ,55,陽平,m,ɛ,55,陽平
3408,tʂ,ai,55,陰平,tʂ,ɛ,213,陰平,ts,æ,21,陰平,ts,ai,55,陰平,ts,ai,33,陰平,ts,ai,33,陰平,tʂ,ᴇ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʂ,ɛ,213,陰平,tʂ,ɛ,212,陰平,tʂ,ɛ,212,陰平,ts,ɛ,212,陰平,ts,ɛ,212,陰平,ts,ɛ,212,陰平,tʂ,ɛ,212,陰平,ts,ɛ,212,陰平,ts,ɛ,212,陰平,ts,ɛ,213,陰平,tʂ,ɛ,21,陰平,tʂ,ɛ,21,陰平,ts,ɛ,31,陰平,tʂ,ɛ,31,陰平,ts,ɛ,31,陰平,ts,ai,44,陰平,tʂ,ai,31,陰平,ts,ɛ,32,陰平,tʂ,ɛ,42,陰平,tʂ,ɛ,42,陰平,tʂ,ɛ,21,陰平,tʂ,ɛ,313,陰平,tʂ,ɛ,21,陰平,ts,æ,21,陰平,tʂ,ɛ,21,陰平,ts,ɛ,42,陰平,tʂ,ɛ,21,陰平,ts,ɛ,21,陰平,ts,ɛ,42,陰平
3418,,,,,,,,,,,,,,,,,kʰ,ai,33,陰平,kʰ,ai,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,ɛ,32,陰平,kʰ,ɛ,42,陰平,kʰ,ɛ,42,陰平,ts,ɛ,21,陰平,kʰ,ɛ,313,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,42,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,21,陰平,,,,
3432,x,uei,55,陰平,x,uei,213,陰平,x,uei,21,陰平,x,uei,55,陰平,f,ei,33,陰平,x,uɐi,33,陰平,x,ue,212,陰平,x,uei,53,陰平,x,uei,213,陰平,x,uei,21,陰平,x,yei,31,陰平,x,uei,53,陰平,x,uei,423,陰平,x,uei,31,陰平,x,uei,21,陰平,x,uei,51,陰平,x,uɘ,213,陰平,x,uɘ,212,陰平,x,uɘ,212,陰平,x,uɘ,212,陰平,x,uei,212,陰平,x,uɘ,212,陰平,x,uɘ,212,陰平,x,uəɪ,212,陰平,x,uei,212,陰平,x,uei,213,陰平,x,uei,21,陰平,x,uei,21,陰平,x,uei,31,陰平,x,uei,31,陰平,x,uei,31,陰平,x,uei,44,陰平,x,uei,31,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,x,uei,55,陰平,x,uei,213,陰平,x,uei,21,陰平,x,uei,55,陰平,f,ei,33,陰平,x,uɐi,33,陰平,x,ue,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,kʰ,uei,35,陽平,kʰ,uei,42,陽平,kʰ,uei,24,陽平,kʰ,uei,55,陰平,kʰ,uei,31,陽平,kʰ,uɐi,21,陽平,kʰ,ue,212,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,,,,,,,,,,,,,,,,,kʰ,uei,33,陰平,kʰ,uɐi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,,,,,,,,,,,,,,,,,0,uei,33,陰平,0,uɐi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,x,uei,35,陽平,x,uei,42,陽平,x,uei,24,陽平,x,uei,213,陽平,x,uei,31,陽平,x,uɐi,21,陽平,x,ue,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469,,,,,,,,,,,,,,,,,x,uei,31,陽平,x,uɐi,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,m,ei,35,陽平,m,ei,42,陽平,m,ei,24,陽平,m,ei,213,陽平,m,ei,31,陽平,m,ɐi,21,陽平,m,e,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3471,m,ei,35,陽平,m,ei,42,陽平,m,ei,24,陽平,m,ei,213,陽平,m,ei,31,陽平,m,ɐi,21,陽平,m,e,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,m,ei,35,陽平,m,ei,42,陽平,m,ei,24,陽平,m,ei,213,陽平,m,ei,31,陽平,m,ɐi,21,陽平,m,e,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,m,ei,35,陽平,m,ei,42,陽平,m,ei,24,陽平,m,ei,213,陽平,m,ei,31,陽平,m,ɐi,21,陽平,m,e,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3495,l,ei,35,陽平,l,uei,42,陽平,l,uei,24,陽平,n,ei,213,陽平,l,uei,31,陽平,n,ɐi,21,陽平,l,e,55,陽平,l,ei,31,陽平,l,ei,35,陽平,l,uei,51,上聲,l,yei,213,陽平,l,uei,325,陽平,l,uei,13,陽平,l,uei,13,陽平,l,ei,24,陽平,l,uei,24,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,ei,55,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,əɪ,55,陽平,l,ei,55,陽平,l,ei,45,陽平,l,ei,35,陽平,n,ei,35,陽平,n,ei,35,陽平,n,ei,24,陽平,n,ei,35,陽平,n,ei,24,陽平,n,ei,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,,,,,,,,,,,,,,,,,l,uei,31,陽平,n,ɐi,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,ɘ,55,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,ei,55,陽平,l,ɘ,55,陽平,l,ɘ,55,陽平,l,əɪ,55,陽平,l,ei,55,陽平,l,ei,45,陽平,l,ei,35,陽平,n,ei,35,陽平,n,ei,35,陽平,n,ei,24,陽平,n,ei,35,陽平,n,ei,24,陽平,n,ei,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,tʰ,uei,55/35,陰平/陽平,tʰ,ei/uei,42,陽平,tʰ,ei/uei,24,陽平,tʰ,ei,213/42,陽平/上,,,,,,,,,tʰ,e,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3521,tsʰ,uei,55,陰平,tsʰ,uei,213,陰平,tsʰ,uei,21,陰平,tsʰ,ei,55,陰平,tsʰ,uei,33,陰平,tsʰ,ɐi,33,陰平,tsʰ,e,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522,tsʰ,uei,55,陰平,tsʰ,uei,213,陰平,tsʰ,uei,21,陰平,tsʰ,ei,55,陰平,tsʰ,uei,33,陰平,tsʰ,ɐi,33,陰平,tsʰ,e,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3531,t/ts,uei,55,陰平,t/ts,uei,213,陰平,t,uei,21,陰平,t,ei,55,陰平,t,uei,33,陰平,t,ɐi,33,陰平,t,e,212,陰平,t,uei,53,陰平,t,uei,213,陰平,t,uei,21,陰平,t,yei,31,陰平,t,uei,53,陰平,t,uei,423,陰平,t,uei,31,陰平,t,uei,21,陰平,t,uei,51,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3553,,,,,,,,,,,,,,,,,pʰ,ei,31,陽平,pʰ,ɐi,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555,pʰ,ei,35,陽平,pʰ,ei,42,陽平,pʰ,ei,55,去,pʰ,ei,213,陽平,pʰ,ei,31,陽平,pʰ,ɐi,21,陽平,pʰ,e,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3556,pʰ,ei,35,陽平,pʰ,ei,42,陽平,pʰ,ei,24,陽平,pʰ,ei,213,陽平,pʰ,ei,31,陽平,pʰ,ɐi,21,陽平,pʰ,e,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,,,,,,,,,,,,,,,,,p,ei,33,陰平,p,ɐi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,p,ei,55,陰平,p,ei,213,陰平,pʰ,ei,21,陰平,p,ei,55,陰平,p,ei,33,陰平,p,ɐi,33,陰平,p,e,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,ei,32,陰平,p,ɪ,42,陰平,p,e,42,陰平,p,e,21,陰平,p,ei,313,陰平,p,ɪ,21,陰平,p,ei,21,陰平,p,ei,21,陰平,p,e,42,陰平,p,ei,21,陰平,p,ɛi,21,陰平,p,e,42,陰平
3567,,,,,,,,,,,,,,,,,p,ei,33,陰平,p,ɐi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3568,pʰ,ei,55,陰平,pʰ,ei,213,陰平,pʰ,ei,21,陰平,pʰ,ei,55,陰平,pʰ,i,33,陰平,pʰ,i,33,陰平,pʰ,ɿ,24,上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3569,,,,,,,,,,,,,,,,,pʰ,i,33,陰平,pʰ,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577,0,uei,35,陽平,0,uei,55,上,0,uei,53,陽平,,uei,213,陽平,0,uei,31,陽平,ŋ,uɐi,21,陽平,0,ue,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585,tʰ,uei,55,陰平,tʰ,uei,213,陰平,tʰ,uei,21,陰平,tʰ,ei,55,陰平,tʰ,uei,33,陰平,tʰ,ɐi,33,陰平,tʰ,e,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,kʰ,ai,55,陰平,kʰ,ɛ,213,陰平,kʰ,æ,21,陰平,kʰ,ai,55,陰平,kʰ,ai,33,陰平,kʰ,ai,33,陰平,kʰ,ᴇ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,ɛ,213,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,212,陰平,kʰ,ɛ,213,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,31,陰平,kʰ,ɛ,31,陰平,kʰ,ɛ,31,陰平,kʰ,ai,44,陰平,kʰ,ai,31,陰平,kʰ,ɛ,32,陰平,kʰ,ɛ,42,陰平,ts,ɛ,42,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,313,陰平,kʰ,ɛ,21,陰平,kʰ,æ,21,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,42,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,21,陰平,kʰ,ɛ,42,陰平
3603,0,ai,55,陰平,ŋ,ɛ,213,陰平,ŋ,æ,21,陰平,ŋ,ai,55,陰平,0,ai,33,陰平,0,ai,33,陰平,ʐ,ᴇ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ɛ,32,陰平,ɣ,ɛ,42,陰平,0,ɛ,42,陰平,0,ɛ,21,陰平,ɣ,ɛ,313,陰平,ŋ,ɛ,21,陰平,0,æ,21,陰平,ʐ,ɛ,21,陰平,ŋ,ɛ,42,陰平,ŋ,ɛ,21,陰平,ŋ,ɛ,21,陰平,ŋ,ɛ,42,陰平
3604,,,,,,,,,,,,,,,,,0,ai,33,陰平,0,ai,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,tʰ,ai,35,陽平,tʰ,ɛ,42,陽平,tʰ,æ,24,陽平,tʰ,ai,213,陽平,tʰ,ai,31,陽平,tʰ,ai,21,陽平,tʰ,ᴇ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3610,,,,,,,,,,,,,,,,,tʰ,ai,31,陽平,tʰ,ai,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3611,,,,,,,,,,,,,,,,,tʰ,ai,31,陽平,tʰ,ai,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,tʰ,ai,35/55,陽平/陰平,tʰ,ɛ,213/42,陰平/陽平,tʰ,æ,21/24,陰平/陽平,tʰ,ai,213,陽平,tʰ,ai,31,陽平,tʰ,ai,33,陰平,tʰ,ᴇ,212/55,陰平/陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3624,k,ai,55,陰平,k,ɛ,213,陰平,k,æ,21,陰平,k,ai,55,陰平,k,ai,33,陰平,k,ai,33,陰平,k,ᴇ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,ɛ,32,陰平,k,ɛ,42,陰平,k,ɛ,42,陰平,k,ɛ,21,陰平,k,ɛ,313,陰平,k,ɛ,21,陰平,k,æ,21,陰平,k,ɛ,21,陰平,k,ɛ,42,陰平,k,ɛ,21,陰平,k,ɛ,21,陰平,k,ɛ,42,陰平
3645,tsʰ,ai,35,陽平,tsʰ,ɛ,42,陽平,tsʰ,æ,24,陽平,tsʰ,ai,213,陽平,tsʰ,ai,31,陽平,tsʰ,ai,21,陽平,tsʰ,ᴇ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646,,,,,,,,,,,,,,,,,tsʰ,ai,31,陽平,tsʰ,ai,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3647,tsʰ,ai,35,陽平,tsʰ,ɛ,42,陽平,tsʰ,æ,24,陽平,tsʰ,ai,213,陽平,tsʰ,ai,31,陽平,tsʰ,ai,21,陽平,tsʰ,ᴇ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3648,tsʰ,ai,35,陽平,tsʰ,ɛ,42,陽平,tsʰ,æ,24,陽平,tsʰ,ai,213,陽平,tsʰ,ai,31,陽平,tsʰ,ai,21,陽平,tsʰ,ᴇ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsʰ,ɛ,24,陽平,tsʰ,ɛ,35,陽平,tsʰ,ɛ,35,陽平,tsʰ,ɛ,24,陽平,tsʰ,ɛ,35,陽平,tsʰ,ɛ,35,陽平,tsʰ,æ,24,陽平,tsʰ,ɛ,24,陽平,tsʰ,ɛ,21,陽平,tsʰ,ɛ,13,陽平,tsʰ,ɛ,55,陽平,tsʰ,ɛ,55,陽平
3649,tsʰ,ai,35,陽平,tsʰ,ɛ,42,陽平,tsʰ,æ,24,陽平,tsʰ,ai,213,陽平,tsʰ,ai,31,陽平,tsʰ,ai,21,陽平,tsʰ,ᴇ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
