id,字形,方言點,聲母,韻母,調值,調類,備註
10312,跪,孝義,kʰ,uei,53,去聲,
10312,跪,臨縣,kʰ,uei,53,去聲,
10312,跪,離石,kʰ,uɛi,53,去聲,
10312,跪,汾陽,kʰ,uei,55,去聲,
10312,跪,嵐縣,kʰ,uei,52,去聲,
10312,跪,石樓,k,uei,52,去聲,
10312,跪,隰縣,kʰ,uei,55,去聲,
10312,跪,汾西,kʰ,uei,53,陽去,
10312,跪,沁縣,k,uei,55,去聲,
10312,跪,平順,k,uei,53,去聲,
10312,跪,長治,k,uei,53,去聲,
10312,跪,長子,kʰ,uei,53,陽去,
10312,跪,高平,k,uei,42,去聲,
10312,跪,陵川,t,uEi,24,去聲,
10312,跪,朔州,kʰ,uei,53,去聲,
10312,跪,代縣,kʰ,uei,53,去聲,
10312,跪,五寨,kʰ,uei,53,去聲,
10312,跪,五台,kʰ,uei,52,去聲,
10312,跪,忻州,kʰ,uei,53,去聲,
10312,跪,天鎮,kʰ,uɛe,24,去聲,
10312,跪,大同,kʰ,uɛe,24,去聲,
10312,跪,山陰,kʰ,uei,335,去聲,
10312,跪,平定,kʰ,uei,24,去聲,
10312,跪,和順,kʰ,uei,44,去聲,
10312,跪,晉城,k,uɛe,53,去聲,
10312,跪,陽城,k,uæ,53,去聲,
10319,企,太原,tɕʰ,i,53,上,
10324,旨,太原,ts,ɿ,53,上,
10325,指,太原,ts,əʔ/ɿ,2/53,陰入/上,未註明異讀原因
10335,美,太原,m,ei,53,上,
10340,鄙,太原,p,i,11/53,平/上,未註明異讀原因
10360,姊,太原,ts,ɿ,53,上,
10365,比,太原,p,i,53,上,
10372,軌,太原,k,uei,11/53,平/上,未註明異讀原因
10395,死,太原,s,ɿ,53,上,
10398,水,太原,s,uei,53,上,
10399,壘,太原,l,uei,53,上,
10468,止,太原,ts,ɿ,53,上,
10474,址,太原,tsʰ,ɿ,53,上,
10478,市,太原,s,ɿ,45,去,
10484,喜,太原,ɕ,i,53,上,
10487,紀,太原,tɕ,i,45,去,
10488,己,太原,tɕ,i,53,上,
10491,以,太原,0,i,53,上,
10493,已,太原,0,i,53,上,
10498,似,太原,s,ɿ,45,去,
10500,祀,太原,s,ɿ,45,去,
10513,史,太原,s,ɿ,53,上,
10514,使,太原,s,ɿ,53,上,使用
10515,駛,太原,s,ɿ,53,上,
10517,耳,婁煩,0,ər,213,上聲,
10517,耳,太原,0,ɚ,53,上聲,
10517,耳,清徐,0,ai,53,上聲,
10517,耳,文水,0,e,423,上聲,
10517,耳,太谷,0,ɐr,323,上聲,
10517,耳,祁縣,0,̩l,21,上聲,
10517,耳,平遙,0,ər,53,上聲,
10517,耳,孝義,0,ər,312,上聲,
10517,耳,臨縣,0,ər,312,上聲,
10517,耳,離石,0/z,ər/ɿ,312/312,上聲/上聲,文讀白讀。
10517,耳,汾陽,0,ɤ,312,上聲,
10517,耳,嵐縣,0,ər,213,上聲,
10517,耳,石樓,0,ər,413,上聲,
10517,耳,隰縣,0/z,iə/ɿ,31/31,上聲/上聲,文讀白讀。
10517,耳,汾西,0,iə,33,上聲,
10517,耳,沁縣,0,ər,213,陰平上,
10517,耳,平順,0,̩l,424,上聲,
