# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
14821,k,aŋ,44,陰去,,,,,k,oŋ,52,陰去,k,iəŋ,52,陰去,k,i,33,陰去,tɕ,iaŋ,21,陰去,k,aŋ,34,陰去,k,ɔŋ,53,陰去,k,aŋ,52,陰去,k,iaŋ,53,陰去,k,o,11,陰去
14822,k,aŋ,44,陰去,,,,,k,oŋ,52,陰去,k,iəŋ,52,陰去,k,i,33,陰去,,,,,k,aŋ,34,陰去,k,ɔŋ,53,陰去,k,aŋ,52,陰去,k,iaŋ,53,陰去,k,o,11,陰去
14824,s,iaŋ,44,陰去,k,au,24,陰上,0,iaŋ,21,陽去,x,əŋ,33,陽去,s,y,52,陽去,,,,,h,aŋ,21,陽去,h,ɔŋ,21,陽去,h,aŋ,22,陽去,h,aŋ,11,陽去,h,o,33,陽去
14825,s,iaŋ,44,陰去,k,au,24,陰上,0,iaŋ,21,陽去,x,əŋ,33,陽去,s,y,52,陽去,,,,,h,aŋ,21,陽去,h,ɔŋ,21,陽去,h,aŋ,22,陽去,h,aŋ,11,陽去,h,o,33,陽去
14832,ts,aŋ,35,陽去,ts,aŋ,55,陽去,tʃ,iaŋ,52,陰去,ts,əŋ,33,陽去,tsʰ,uŋ,31,陽平,ts,aŋ,33,陽去,tʃʰ,aŋ,21,陽去,tʃʰ,ɔŋ,21,陽去,tʃʰ,aŋ,22,陽去,tʃʰ,aŋ,11,陽去,tsʰ,o,33,陽去
14849,p,ɐi,35,陽去,p,a,52,陰平,p,i,21,陽去,p,ɛi,33,陽去,p,a,52,陽去,p,a,33,陽去,p,ɛi,21,陽去,p,i,21,陽去,p,əi,22,陽去,p,ei,11,陽去,p,Ai,33,陽去
14854,l,ai,35,陽去,l,ɐi,55,陽去,l,i,21,陽去,l,a,33,陽去,l,a,52,陽去,l,əi,33,陽去,l,ai,21,陽去,l,ɑ,21,陽去,l,ɐ,55,上聲,l,a,11,陽去,l,Ai,33,陽去
14855,,,,,,,,,,,,,,,,,,,,,l,a,41,陽平,,,,,,,,,,,,,,,,,,,,
14859,s,ɿ,44,陰去,s,ɿ,55,陽去,ʃ,i,21,陽去,s,ɿ,33,陽去,s,ɿ,31,陽平,,,,,s,ɿ,21,陽去,ʃ,i,21,陽去,ʃ,i,22,陽去,ʃ,i,11,陽去,s,i,33,陽去
14860,s,ɿ,44,陰去,s,ɿ,55,陽去,ʃ,i,21,陽去,s,ɿ,33,陽去,s,ɿ,31,陽平,,,,,s,ɿ,21,陽去,ʃ,i,21,陽去,ʃ,i,22,陽去,ʃ,i,11,陽去,s,i,33,陽去
