# 徽語
id,旌德(安徽省志)_聲母,旌德(安徽省志)_韻母,旌德(安徽省志)_調值,旌德(安徽省志)_調類,績溪(安徽省志)_聲母,績溪(安徽省志)_韻母,績溪(安徽省志)_調值,績溪(安徽省志)_調類,黃山(湯口)(安徽省志)_聲母,黃山(湯口)(安徽省志)_韻母,黃山(湯口)(安徽省志)_調值,黃山(湯口)(安徽省志)_調類,黟縣(安徽省志)_聲母,黟縣(安徽省志)_韻母,黟縣(安徽省志)_調值,黟縣(安徽省志)_調類,祁門(安徽省志)_聲母,祁門(安徽省志)_韻母,祁門(安徽省志)_調值,祁門(安徽省志)_調類,屯溪(安徽省志)_聲母,屯溪(安徽省志)_韻母,屯溪(安徽省志)_調值,屯溪(安徽省志)_調類
1314,s,ɿ,35,陰平,s,ɿ,31,陰平,ɬ,l̩,55,陰平,s,ɿ,21,陰平,s,ɿ,11,陰平,s,ɿ,33,陰平
1317,ɕ,a,35,陰平,ɕ,iɔ,31,陰平,ɬ,ɑ,55,陰平,ʃ,ɑ,21,陰平,ɕ,ia,11,陰平,s,a,33,陰平
1344,ts,ɿ,35,陰平,ts,ɿ,31,陰平,tɬ,l̩,55,陰平,ts,ɿ,21,陰平,tʂ,i,11,陰平,tɕ,i,33,陰平
1358,ts,ɿ,35,陰平,ts,ɿ,31,陰平,tɕ,i,55,陰平,tʃ,ɛi,21,陰平,tɕ,i,11,陰平,tɕ,i,33,陰平
1410,tsʰ,ɿ,42,陽平,tsʰ,ɿ,44,陽平,tɕʰ,i,44,陽平,tsʰ,ɿ,44,陽平,tʂʰ,i,55,陽平,tɕʰ,i,42,陰去
1411,tsʰ,ɿ,42,陽平,tsʰ,ɿ,44,陽平,tɕʰ,i,44,陽平,tsʰ,ɿ,44,陽平,tʂʰ,i,55,陽平,tɕʰ,i,42,陰去
1460,kʰ,uɪ,42,陽平,kʰ,uei,44,陽平,kʰ,uɐ,44,陽平,tʃʰ,yɛi,44,陽平,tɕʰ,y,55,陽平,kʰ,ue,42,陰去
1468,ts,uɪ,35,陰平,ts,uei,31,陰平,tɬ,uɐ,55,陰平,tʃ,yɛi,21,陰平,tɕ,y,11,陰平,tɕ,ye,33,陰平
1471,k,uɪ,35,陰平,k,uei,31,陰平,k,uɐ,55,陰平,ʃ,yɛi,21,陰平,k,uei,11,陰平,tɕ,y,33,陰平
1472,k,uɪ,35,陰平,k,uei,31,陰平,k,uɐ,55,陰平,ʃ,yɛi,21,陰平,k,uei,11,陰平,tɕ,y,33,陰平
1473,k,uɪ,35,陰平,k,uei,31,陰平,k,uɐ,55,陰平,ʃ,yɛi,21,陰平,k,uei,11,陰平,tɕ,y,33,陰平
1484,s,a,35,陰平,s,æ,31,陰平,ɬ,uɐ,55,陰平,ʃ,uɐɯ,21,陰平,ɕ,yɐ̆,11,陰平,s,e,33,陰平
1514,s,uɪ,35,陰平,s,uei,31,陰平,ɬ,uɐ,55,陰平,ʃ,yɛi,21,陰平,s,y,11,陰平,s,i,33,陰平
1718,s,ɿ,35,陰平,s,ɿ,31,陰平,ɬ,l̩,55,陰平,s,ɿ,21,陰平,ɕ,i,11,陰平,ɕ,i,33,陰平
1759,ts,ɿ,35,陰平,ts,ɿ,31,陰平,tɕ,i,55,陰平,tʃ,ɛi,21,陰平,tɕ,i,11,陰平,tɕ,i,33,陰平
1825,0,i,35,陰平,0,ɿ,31,陰平,0,i,55,陰平,0,iɛi,21,陰平,0,i,11,陰平,0,i,33,陰平
1826,0,i,35,陰平,0,ɿ,31,陰平,0,i,55,陰平,0,iɛi,21,陰平,0,i,11,陰平,0,i,33,陰平
1880,x,uɪ,35,陰平,x,uei,31,陰平,x,uɐ,55,陰平,x,uɛi,21,陰平,k,uei,11,陰平,x,ue,33,陰平
1914,f,ɪ,35,陰平,f,ɪi,31,陰平,f,e,55,陰平,f,ɛi,21,陰平,f,i,11,陰平,f,e,33,陰平
1925,f,ɪ,42,陽平,f,ɪi,44,陽平,f,e,44,陽平,f,ɛi,44,陽平,f,i,55,陽平,f,e,42,陰去
1986,s,ɿ,35,陰平,s,ɿ,31,陰平,ɕ,i,55,陰平,ʃ,ɛi,21,陰平,ɕ,i,11,陰平,ɕ,i,33,陰平
1995,0,i,35,陰平,0,ɿ,31,陰平,0,i,55,陰平,0,iɛi,21,陰平,0,i,11,陰平,0,i,33,陰平
2010,0,ʮ,42,陽平,n,y,44,陽平,n,y,44,陽平,ȵ,yɛi,44,陽平,ȵ,y,55,陽平,ȵ,y,42,陰去
2011,0,ʮ,42,陽平,n,y,44,陽平,n,y,44,陽平,ȵ,yɛi,44,陽平,ȵ,y,55,陽平,ȵ,y,42,陰去
2020,tsʰ,u,35,陰平,tsʰ,u,31,陰平,tɬʰ,u,55,陰平,tsʰ,u,21,陰平,tsʰ,u,11,陰平,tsʰ,ou,33,陰平
2022,s,ʮ,35,陰平,ɕ,y,31,陰平,ɕ,y,55,陰平,s,u,21,陰平,ɕ,y,11,陰平,ɕ,y,33,陰平
2029,ts,ʮ,35,陰平,tɕ,y,31,陰平,tɕ,y,55,陰平,tɕ,yɛi,21,陰平,tɕ,y,11,陰平,tɕ,y,33,陰平
