# 平話
id,寧遠(清水橋)_聲母,寧遠(清水橋)_韻母,寧遠(清水橋)_調值,寧遠(清水橋)_調類,龍勝(紅瑤)_聲母,龍勝(紅瑤)_韻母,龍勝(紅瑤)_調值,龍勝(紅瑤)_調類,靈川(三街)_聲母,靈川(三街)_韻母,靈川(三街)_調值,靈川(三街)_調類,靈川(潭下)_聲母,靈川(潭下)_韻母,靈川(潭下)_調值,靈川(潭下)_調類,桂林(朝陽)_聲母,桂林(朝陽)_韻母,桂林(朝陽)_調值,桂林(朝陽)_調類,桂林(雁山竹園)_聲母,桂林(雁山竹園)_韻母,桂林(雁山竹園)_調值,桂林(雁山竹園)_調類,臨桂(兩江)_聲母,臨桂(兩江)_韻母,臨桂(兩江)_調值,臨桂(兩江)_調類,永福(桃城)_聲母,永福(桃城)_韻母,永福(桃城)_調值,永福(桃城)_調類,陽朔(驥馬)_聲母,陽朔(驥馬)_韻母,陽朔(驥馬)_調值,陽朔(驥馬)_調類,臨桂(五通)_聲母,臨桂(五通)_韻母,臨桂(五通)_調值,臨桂(五通)_調類,融水(融水鎮)_聲母,融水(融水鎮)_韻母,融水(融水鎮)_調值,融水(融水鎮)_調類,平樂(青龍)_聲母,平樂(青龍)_韻母,平樂(青龍)_調值,平樂(青龍)_調類,富寧(剝隘)_聲母,富寧(剝隘)_韻母,富寧(剝隘)_調值,富寧(剝隘)_調類,百色(那畢)(平話音韻研究)_聲母,百色(那畢)(平話音韻研究)_韻母,百色(那畢)(平話音韻研究)_調值,百色(那畢)(平話音韻研究)_調類,馬山(喬利)_聲母,馬山(喬利)_韻母,馬山(喬利)_調值,馬山(喬利)_調類,田東(林逢)_聲母,田東(林逢)_韻母,田東(林逢)_調值,田東(林逢)_調類,賓陽(蘆墟)_聲母,賓陽(蘆墟)_韻母,賓陽(蘆墟)_調值,賓陽(蘆墟)_調類,南寧(亭子)_聲母,南寧(亭子)_韻母,南寧(亭子)_調值,南寧(亭子)_調類,橫縣(橫州)_聲母,橫縣(橫州)_韻母,橫縣(橫州)_調值,橫縣(橫州)_調類,扶綏(龍頭)_聲母,扶綏(龍頭)_韻母,扶綏(龍頭)_調值,扶綏(龍頭)_調類,龍州(上龍)_聲母,龍州(上龍)_韻母,龍州(上龍)_調值,龍州(上龍)_調類,藤縣(藤城)_聲母,藤縣(藤城)_韻母,藤縣(藤城)_調值,藤縣(藤城)_調類,鬱林(福綿)_聲母,鬱林(福綿)_韻母,鬱林(福綿)_調值,鬱林(福綿)_調類
2005,k,uɯ,35,平聲,k,uɐi,33,陰平,kʷ,ei,13,陰平,k,uei,24,陰平,k,uɛi,43,陰平,k,uæ,53,去聲,kʷ,ai,35,陰平,k,uei,35,陰平,k,uæ̃,33,陰平,kʷ,Ei,35,陰平,kʷ,E,53,陰平,kʷ,ai,35,陽去,kʷ,Ei,44,陰平,kʰ,øi,54,陰平,kʰʷ,ei,55,陰平,kʰ,øi,54,陰平,kʷ,ei,34,陰平,kʷ,Ei,41,陰平,kʷ,Ei,55,陰平,kʰʷ,ei,53,陰平,k,øi,55,陰平,kʷ,Ei,53,陰平,kʷ,ai,54,陰平
2006,k,uɯ,35,平聲,k,uɐi,33,陰平,kʷ,ei,13,陰平,k,uei,24,陰平,k,uɛi,43,陰平,k,uæ,53,去聲,kʷ,ai,35,陰平,k,uei,35,陰平,k,uæ̃,33,陰平,kʷ,Ei,35,陰平,kʷ,E,53,陰平,kʷ,ai,35,陽去,kʷ,Ei,44,陰平,kʰ,øi,54,陰平,kʰʷ,ei,55,陰平,kʰ,øi,54,陰平,kʷ,ei,34,陰平,kʷ,Ei,41,陰平,kʷ,Ei,55,陰平,kʰʷ,ei,53,陰平,k,øi,55,陰平,kʷ,Ei,53,陰平,kʷ,ai,54,陰平
2010,0,ɔ,35,平聲,ŋ,iu,24,陽平,,,,,0,ŋ̩,33,陽平,0,ŋ̩,22,陽平,0,ŋ̩,44,陽平,ȵ,iə,12,陽平,ŋ,y,23,陽平,ŋ,y,22,陽平,ȵ,iou,21,陽平,ȵ,y,21,陽平,ȵ,ỹ,31,陽平,,iøi,31,陽平,ȵ,øi,42,陽平,ȵ,ei,41,陽平,ȵ,øi,41,陽平,ȵ,u,213,陽平,0,y,21,陽平,ȵ,y,25,陽平,,iɤ,21,陽平,ȵ,øi,31,陽平,ȵ,y,212,陽平,ȵ,y,31,陽平
2011,0,ɔ,35,平聲,ŋ,iu,24,陽平,,,,,0,ŋ̩,33,陽平,0,ŋ̩,22,陽平,0,ŋ̩,44,陽平,ȵ,iə,12,陽平,ŋ,y,23,陽平,ŋ,y,22,陽平,ȵ,iou,21,陽平,ȵ,y,21,陽平,ȵ,ỹ,31,陽平,,iøi,31,陽平,ȵ,øi,42,陽平,ȵ,ei,41,陽平,ȵ,øi,41,陽平,ȵ,u,213,陽平,0,y,21,陽平,ȵ,y,25,陽平,,iɤ,21,陽平,ȵ,øi,31,陽平,ȵ,y,212,陽平,ȵ,y,31,陽平
2012,,,,,ŋ,iu,24,陽平,0,y,533,陽平,0,ŋ̩,33,陽平,0,ŋ̩,22,陽平,0,ŋ̩,44,陽平,0,y,31,陽去,ŋ,y,23,陽平,ŋ,y,22,陽平,ȵ,iou,21,陽平,ȵ,y,21,陽平,ȵ,ỹ,31,陽平,,iøi,31,陽平,ȵ,øi,42,陽平,ȵ,ei,41,陽平,ȵ,øi,41,陽平,ȵ,u,213,陽平,0,y,21,陽平,ȵ,y,25,陽平,,iɤ,21,陽平,ȵ,øi,31,陽平,ȵ,y,212,陽平,ȵ,y,31,陽平
2013,,,,,ŋ,iu,24,陽平,0,y,533,陽平,0,ŋ̩,33,陽平,0,ŋ̩,22,陽平,0,ŋ̩,44,陽平,0,y,31,陽去,ŋ,y,23,陽平,ŋ,y,22,陽平,ȵ,iou,21,陽平,ȵ,y,21,陽平,ȵ,ỹ,31,陽平,,iøi,31,陽平,ȵ,øi,42,陽平,ȵ,ei,41,陽平,ȵ,øi,41,陽平,ȵ,u,213,陽平,0,y,21,陽平,ȵ,y,25,陽平,,iɤ,21,陽平,ȵ,øi,31,陽平,ȵ,y,212,陽平,ȵ,y,31,陽平
2014,,,,,ŋ,iu,24,陽平,0,y,533,陽平,0,ŋ̩,33,陽平,0,ŋ̩,22,陽平,0,ŋ̩,44,陽平,0,y,31,陽去,ŋ,y,23,陽平,ŋ,y,22,陽平,ȵ,iou,21,陽平,ȵ,y,21,陽平,ȵ,ỹ,31,陽平,,iøi,31,陽平,ȵ,øi,42,陽平,ȵ,ei,41,陽平,ȵ,øi,41,陽平,ȵ,u,213,陽平,0,y,21,陽平,ȵ,y,25,陽平,,iɤ,21,陽平,ȵ,øi,31,陽平,ȵ,y,212,陽平,ȵ,y,31,陽平
2015,,,,,ŋ,iu,24,陽平,0,y,533,陽平,0,ŋ̩,33,陽平,0,ŋ̩,22,陽平,0,ŋ̩,44,陽平,0,y,31,陽去,ŋ,y,23,陽平,ŋ,y,22,陽平,ȵ,iou,21,陽平,ȵ,y,21,陽平,ȵ,ỹ,31,陽平,,iøi,31,陽平,ȵ,øi,42,陽平,ȵ,ei,41,陽平,ȵ,øi,41,陽平,ȵ,u,213,陽平,0,y,21,陽平,ȵ,y,25,陽平,,iɤ,21,陽平,ȵ,øi,31,陽平,ȵ,y,212,陽平,ȵ,y,31,陽平
2020,tsʰ,ɔ,35,平聲,tsʰ,u,33,陰平,tsʰ,u,13,陰平,tsʰ,aɯ,24,陰平,tsʰ,u,43,陰平,tsʰ,au,55,陰平,tsʰ,ə,35,陰平,tsʰ,u,35,陰平,tsʰ,ɯə,33,陰平,tsʰ,ou,35,陰平,tɕʰ,u,53,陰平,tsʰ,u,53,陰平,tsʰ,ɔ,44,陰平,tsʰ,ɔ,54,陰平,tsʰ,ɔ,55,陰平,tsʰ,ɔ,54,陰平,tsʰ,ou,34,陰平,tɕʰ,u,41,陰平,tsʰ,u,55,陰平,tsʰ,ɔ,53,陰平,tsʰ,ɔ,55,陰平,tɕʰ,ɔ,53,陰平,tɕʰ,ɔ,54,陰平
2022,ɕ,ɿ,35,平聲,s,u,33,陰平,ɕ,y,13,陰平,s,ɿ,24,陰平,s,y,43,陰平,s,y,55,陰平,s,ə,35,陰平,s,y,35,陰平,s,y,33,陰平,s,əu,35,陰平,ɕ,y,53,陰平,ɕ,y,53,陰平,s,øi,44,陰平,s,øi,54,陰平,s,ei,55,陰平,s,øi,54,陰平,s,u,34,陰平,ɕ,y,41,陰平,s,y,55,陰平,s,ɤ,53,陰平,s,øi,55,陰平,ɕ,y,53,陰平,ɕ,y,54,陰平
