# 吳語
id,丹陽後巷童家橋_聲母,丹陽後巷童家橋_韻母,丹陽後巷童家橋_調值,丹陽後巷童家橋_調類,靖江_聲母,靖江_韻母,靖江_調值,靖江_調類,丹陽_聲母,丹陽_韻母,丹陽_調值,丹陽_調類,江陰_聲母,江陰_韻母,江陰_調值,江陰_調類,常州_聲母,常州_韻母,常州_調值,常州_調類,金壇西崗_聲母,金壇西崗_韻母,金壇西崗_調值,金壇西崗_調類,溧陽_聲母,溧陽_韻母,溧陽_調值,溧陽_調類,宜興_聲母,宜興_韻母,宜興_調值,宜興_調類,常熟_聲母,常熟_韻母,常熟_調值,常熟_調類,無錫_聲母,無錫_韻母,無錫_調值,無錫_調類,寶山霜草墩_聲母,寶山霜草墩_韻母,寶山霜草墩_調值,寶山霜草墩_調類,崑山_聲母,崑山_韻母,崑山_調值,崑山_調類,蘇州_聲母,蘇州_韻母,蘇州_調值,蘇州_調類,蘇州(當代吳語)_聲母,蘇州(當代吳語)_韻母,蘇州(當代吳語)_調值,蘇州(當代吳語)_調類,上海(三林塘)_聲母,上海(三林塘)_韻母,上海(三林塘)_調值,上海(三林塘)_調類,溫州_聲母,溫州_韻母,溫州_調值,溫州_調類,雲和_聲母,雲和_韻母,雲和_調值,雲和_調類,開化_聲母,開化_韻母,開化_調值,開化_調類,龍游_聲母,龍游_韻母,龍游_調值,龍游_調類,常山_聲母,常山_韻母,常山_調值,常山_調類,江山(江山市)_聲母,江山(江山市)_韻母,江山(江山市)_調值,江山(江山市)_調類,玉山_聲母,玉山_韻母,玉山_調值,玉山_調類,遂昌_聲母,遂昌_韻母,遂昌_調值,遂昌_調類,廣豐(永豐鎮)_聲母,廣豐(永豐鎮)_韻母,廣豐(永豐鎮)_調值,廣豐(永豐鎮)_調類,浦城(南浦鎮城關話)_聲母,浦城(南浦鎮城關話)_韻母,浦城(南浦鎮城關話)_調值,浦城(南浦鎮城關話)_調類,慶元_聲母,慶元_韻母,慶元_調值,慶元_調類,宣州市裘公鄉_聲母,宣州市裘公鄉_韻母,宣州市裘公鄉_調值,宣州市裘公鄉_調類,貴池市茅坦鄉_聲母,貴池市茅坦鄉_韻母,貴池市茅坦鄉_調值,貴池市茅坦鄉_調類,寧國市莊村鄉_聲母,寧國市莊村鄉_韻母,寧國市莊村鄉_調值,寧國市莊村鄉_調類,貴池市灌口鄉_聲母,貴池市灌口鄉_韻母,貴池市灌口鄉_調值,貴池市灌口鄉_調類,寧國市南極鄉_聲母,寧國市南極鄉_韻母,寧國市南極鄉_調值,寧國市南極鄉_調類,黃山區甘棠鎮_聲母,黃山區甘棠鎮_韻母,黃山區甘棠鎮_調值,黃山區甘棠鎮_調類,蕪湖縣_聲母,蕪湖縣_韻母,蕪湖縣_調值,蕪湖縣_調類,繁昌_聲母,繁昌_韻母,繁昌_調值,繁昌_調類,銅陵縣_聲母,銅陵縣_韻母,銅陵縣_調值,銅陵縣_調類,南陵(仙坊話)_聲母,南陵(仙坊話)_韻母,南陵(仙坊話)_調值,南陵(仙坊話)_調類,涇縣_聲母,涇縣_韻母,涇縣_調值,涇縣_調類,石台_聲母,石台_韻母,石台_調值,石台_調類,寶山羅店_聲母,寶山羅店_韻母,寶山羅店_調值,寶山羅店_調類,上海_聲母,上海_韻母,上海_調值,上海_調類,南匯周浦_聲母,南匯周浦_韻母,南匯周浦_調值,南匯周浦_調類,松江_聲母,松江_韻母,松江_調值,松江_調類,吳江黎里_聲母,吳江黎里_韻母,吳江黎里_調值,吳江黎里_調類,吳江盛澤_聲母,吳江盛澤_韻母,吳江盛澤_調值,吳江盛澤_調類,嘉興_聲母,嘉興_韻母,嘉興_調值,嘉興_調類,湖州雙林_聲母,湖州雙林_韻母,湖州雙林_調值,湖州雙林_調類,杭州_聲母,杭州_韻母,杭州_調值,杭州_調類,餘姚_聲母,餘姚_韻母,餘姚_調值,餘姚_調類,紹興_聲母,紹興_韻母,紹興_調值,紹興_調類,諸暨王家井_聲母,諸暨王家井_韻母,諸暨王家井_調值,諸暨王家井_調類,嵊縣崇仁_聲母,嵊縣崇仁_韻母,嵊縣崇仁_調值,嵊縣崇仁_調類,嵊縣太平_聲母,嵊縣太平_韻母,嵊縣太平_調值,嵊縣太平_調類,寧波_聲母,寧波_韻母,寧波_調值,寧波_調類,黃岩_聲母,黃岩_韻母,黃岩_調值,黃岩_調類,金華_聲母,金華_韻母,金華_調值,金華_調類,永康_聲母,永康_韻母,永康_調值,永康_調類,衢州_聲母,衢州_韻母,衢州_調值,衢州_調類
12034,k,ʊ,324,陰上,k,uæ̃,334,陰上,k,ɘŋ,44,陰上,k,ɵ,45,陰上,k,uɔ,334,陰上,k,ʊ̃,323,上聲,k,ʊ,52,陰上,k,ue,51,陰上,k,uɣ,44,陰上,k,o,324,陰上,k,uɪ,434,陰上,k,ɵ/uɵ,52,陰上,k,uø,52,上,k,uɵ/ɵ,51,陰上,k,uei,33,陰上,k,aŋ/y,45,陰上,k,uã,53,陰上,k,uɑ̃,53,陰上,k,uã/oŋ,45,陰上,k,uʌ̃/oŋ,52,陰上,k,oŋ/uæ̃/ỹ,243,陰上,k,oŋ/uã,45,陰上,k,uə̃,52,陰上,k,uɐ̃/oŋ,52,陰上,k,uãi,44,陰上,k,uəŋ/uɑ̃,33,陰上,k,ɔ̃,214,上聲,k,õ,214,陽去,k,uɛ,214,上聲,k,un,214,上聲,k,œ,325,陰上,k,uɛ̃,35,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,uei,33,陰上,,,,,,,,,k,uɑ̃,53,陰上,,,,,k,oŋ/uʌ̃,52,陰上,k,oŋ/uæ̃/ỹ,243,陰上,,,,,,,,,k,uɐ̃/oŋ,52,陰上,,,,,,,,,k,ɔ̃,214,上聲,k,õ,214,陽去,k,uɛ,214,上聲,,,,,k,œ,325,陰上,k,uɛ̃,35,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12046,ʔl,ʊ,324,陰上,ʔl,ɯ̃,334,陰上,l,ɘŋ,213,陽平,ʔl,ɵ,45,陰上,ʔl,ɔ,334,陰上,l,ʊ̃,323,上聲,ʔl,ʌɯ,445,陰平,l/ʔ,e/u,24/55,陽上/陰平,ʔl,ɣ,44,陰上,l,o,213/33,陽去/陽上,l/ʔl,ʌɣ/u,213/434,陽去/陰上,l,ɵ,223,陽去,l,ø/əu,31/52,陽去/上,l,ɵ,231,陽去,,,,,l,aŋ/ø,34,陽上,l,uɛ,53,陰上,l,uã/əŋ,212/53,陽去/陰上,l,ei/uei,213/52,陽上/陰去,l,oŋ/uʌ̃,52/24,陰上/陽上,l,əŋ,33,陽上,l,ɒ̃,22,陽上,l,yə̃/əŋ,13,陽上,l,ã,24,陽上,l.l,uẽi/uãi,54,陽上,l,əŋ/ã,221,陽上,l,ɔ̃,214,上聲,l,õ,214,陽去,l,ɛ,214,上聲,l,ən,214,上聲,l,ɛ,325,陰上,l,ɛ̃,31,陽上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12047,kʰ,ʊ,324,陰上,kʰ,ɯ̃,334,陰上,kʰ,ɘŋ,44,陰上,kʰ,ɵ,45,陰上,kʰ,uɔ,334,陰上,kʰ,ʊ,323,上聲,kʰ,ʊ,52,陰上,kʰ,ue,51,陰上,kʰ,uɣ,44,陰上,kʰ,o,324,陰上,kʰ,uɪ,434,陰上,kʰ,ɵ/uɵ,52,陰上,kʰ,uø,52,上,kʰ,uɵ/ɵ,51,陰上,kʰ,uei,35,陰去,kʰ,ø,45,陰上,kʰ,uã,53,陰上,kʰ,uɑ̃/ã,53,陰上,kʰ,uã,45,陰上,kʰ,uʌ̃,52,陰上,kʰ,uæ̃,243,陰上,kʰ,uã,45,陰上,kʰ,uə̃,52,陰上,kʰ,uɐ̃,52,陰上,kʰ,uãi,44,陰上,kʰ,uã,33,陰上,kʰ,ɔ̃,214,上聲,kʰ,õ,214,陽去,kʰ,uɛ,214,上聲,kʰ,un,214,上聲,kʰ,uɛ,325,陰上,kʰ,uɛ̃,35,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,uei,35,陰去,,,,,,,,,kʰ,ã/uɑ̃,53,陰上,,,,,kʰ,uʌ̃,52,陰上,kʰ,uæ̃,243,陰上,,,,,,,,,kʰ,uɐ̃,52,陰上,,,,,,,,,kʰ,ɔ̃,214,上聲,kʰ,õ,214,陽去,kʰ,uɛ,214,上聲,kʰ,un,214,上聲,kʰ,uɛ,325,陰上,kʰ,uɛ̃,35,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,uei,35,陰去,,,,,,,,,kʰ,ã/uɑ̃,53,陰上,,,,,kʰ,uʌ̃,52,陰上,kʰ,uæ̃,243,陰上,,,,,,,,,kʰ,uɐ̃,52,陰上,,,,,,,,,kʰ,ɔ̃,214,上聲,kʰ,õ,214,陽去,kʰ,uɛ,214,上聲,kʰ,un,214,上聲,kʰ,uɛ,325,陰上,kʰ,uɛ̃,35,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,u,53,陰平,,,,,kʰ,o,324,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,o,334,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,ø,324,陽平,,,,,,,,,n,uɑ̃,53,陰上,,,,,,,,,,,,,,,,,,,,,n,ã,24,陽上,,,,,,,,,l,ɔ̃,214,上聲,n,õ,214,陽去,l,ɛ,214,上聲,n,ən,214,上聲,n,ɛ,325,陰上,l,ɛ̃,31,陽上,n,õ,213,上聲,n,õ,213,上聲,n,õ,53,上聲,n,o,213,上聲,l,E,31,上聲,n,ẽ,313,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,ø,324,陽平,,,,,,,,,n,uɑ̃,53,陰上,,,,,,,,,,,,,,,,,,,,,n,ã,24,陽上,,,,,,,,,l,ɔ̃,214,上聲,n,õ,214,陽去,l,ɛ,214,上聲,n,ən,214,上聲,n,ɛ,325,陰上,l,ɛ̃,31,陽上,n,õ,213,上聲,n,õ,213,上聲,n,õ,53,上聲,n,o,213,上聲,l,E,31,上聲,n,ẽ,313,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12057,n,ʊ,31,陽平,ʔn,ɯ̃,334,陰上,n,ɘŋ,213,陽平,ʔn,ɵ,45,陰上,ʔn,ɔ,334,陰上,l,ʊ̃,323,上聲,ʔl,ʊ,445,陰平,n,e,24,陽上,n,ɣ,31,陽上,n,o,213/33,陽去/陽上,n,ʌɣ,213,陽去,n,ɵ,223,陽去,n,ø,31,陽去,n,ɵ,231,陽去,n,ø,324,陽平,n,aŋ/ø,34,陽上,n,uɛ/əŋ,53,陰上,n,uɑ̃,53,陰上,n,ei,213,陽上,,,,,,,,,,,,,n,əŋ,221,陽平,n,ã,24,陽上,n,uãi,54,陽上,n,əŋ/ã,221,陽上,l,ɔ̃,214,上聲,n,õ,214,陽去,l,ɛ,214,上聲,n,ən,214,上聲,n,ɛ,325,陰上,l,ɛ̃,31,陽上,n,õ,213,上聲,n,õ,213,上聲,n,õ,53,上聲,n,o,213,上聲,l,E,31,上聲,n,ẽ,313,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,ø,324,陽平,,,,,,,,,n,uɑ̃,53,陰上,,,,,,,,,,,,,,,,,,,,,n,ã,24,陽上,,,,,,,,,l,ɔ̃,214,上聲,n,õ,214,陽去,l,ɛ,214,上聲,n,ən,214,上聲,n,ɛ,325,陰上,l,ɛ̃,31,陽上,n,õ,213,上聲,n,õ,213,上聲,n,õ,53,上聲,n,o,213,上聲,l,E,31,上聲,n,ẽ,313,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsʰ,ø,35,陰去,,,,,ts,uɛ,55,陰去,tsʰ,ã,53,陰上,,,,,,,,,,,,,tsʰ,ɒ̃,52,陰去,,,,,,,,,ts,uãi,423,陰去,,,,,ts,ɔ̃,214,上聲,,,,,ts,ɛ,214,上聲,ts,ən,214,上聲,ts,ɛ,325,陰上,ts,ɛ̃,35,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,ø,31,陽去,,,,,,,,,b,ø,34,陽上,b,ɛ,21,陽上,b,ɛ̃,212,陽去,b,ei,213,陽上,b,ʌ̃,24,陽上,b,ĩ,33,陽上,b,iẽ,22,陽上,b,ə̃,13,陽上,b,uɐ̃,24,陽上,p,ãi,21,陽去,p,ã,221,陽上,ɦv,ɔ̃,53,去聲,b,õ,214,陽去,b,ɛ,214,上聲,p,ən,33,去聲,b,ɛ,214,陽上,b,ɛ̃,31,陽上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
