# 閩語
id,南安(溪美鎮)_聲母,南安(溪美鎮)_韻母,南安(溪美鎮)_調值,南安(溪美鎮)_調類,漳州_聲母,漳州_韻母,漳州_調值,漳州_調類,廈門_聲母,廈門_韻母,廈門_調值,廈門_調類,漳浦_聲母,漳浦_韻母,漳浦_調值,漳浦_調類,大田_聲母,大田_韻母,大田_調值,大田_調類,大田(前路話)_聲母,大田(前路話)_韻母,大田(前路話)_調值,大田(前路話)_調類,潮州(府城話)_聲母,潮州(府城話)_韻母,潮州(府城話)_調值,潮州(府城話)_調類,潮州(漢語方音字匯)_聲母,潮州(漢語方音字匯)_韻母,潮州(漢語方音字匯)_調值,潮州(漢語方音字匯)_調類,揭陽(榕城話)_聲母,揭陽(榕城話)_韻母,揭陽(榕城話)_調值,揭陽(榕城話)_調類,澄海_聲母,澄海_韻母,澄海_調值,澄海_調類,汕頭(汕頭市區)_聲母,汕頭(汕頭市區)_韻母,汕頭(汕頭市區)_調值,汕頭(汕頭市區)_調類,海豐(海城鎮)_聲母,海豐(海城鎮)_韻母,海豐(海城鎮)_調值,海豐(海城鎮)_調類,陸豐(內湖鎮)_聲母,陸豐(內湖鎮)_韻母,陸豐(內湖鎮)_調值,陸豐(內湖鎮)_調類,大埔元洲仔(香港新界福佬話)_聲母,大埔元洲仔(香港新界福佬話)_韻母,大埔元洲仔(香港新界福佬話)_調值,大埔元洲仔(香港新界福佬話)_調類,電白(霞洞鎮黎話)_聲母,電白(霞洞鎮黎話)_韻母,電白(霞洞鎮黎話)_調值,電白(霞洞鎮黎話)_調類,海康(雷城話)_聲母,海康(雷城話)_韻母,海康(雷城話)_調值,海康(雷城話)_調類,仙游(城關話)_聲母,仙游(城關話)_韻母,仙游(城關話)_調值,仙游(城關話)_調類,莆田_聲母,莆田_韻母,莆田_調值,莆田_調類,古田_聲母,古田_韻母,古田_調值,古田_調類,馬祖_聲母,馬祖_韻母,馬祖_調值,馬祖_調類,福州_聲母,福州_韻母,福州_調值,福州_調類,福清_聲母,福清_韻母,福清_調值,福清_調類,柘榮_聲母,柘榮_韻母,柘榮_調值,柘榮_調類,福安_聲母,福安_韻母,福安_調值,福安_調類,寧德_聲母,寧德_韻母,寧德_調值,寧德_調類,崇安(崇城鎮城關話)_聲母,崇安(崇城鎮城關話)_韻母,崇安(崇城鎮城關話)_調值,崇安(崇城鎮城關話)_調類,石陂_聲母,石陂_韻母,石陂_調值,石陂_調類,建陽(潭城鎮城關話)_聲母,建陽(潭城鎮城關話)_韻母,建陽(潭城鎮城關話)_調值,建陽(潭城鎮城關話)_調類,松溪_聲母,松溪_韻母,松溪_調值,松溪_調類,建甌_聲母,建甌_韻母,建甌_調值,建甌_調類,建甌(市志)_聲母,建甌(市志)_韻母,建甌(市志)_調值,建甌(市志)_調類,沙縣(城關話)_聲母,沙縣(城關話)_韻母,沙縣(城關話)_調值,沙縣(城關話)_調類,明溪(城關話)_聲母,明溪(城關話)_韻母,明溪(城關話)_調值,明溪(城關話)_調類,三明(三元話)_聲母,三明(三元話)_韻母,三明(三元話)_調值,三明(三元話)_調類,平南(上渡雅埠)(廣西漢語方言)_聲母,平南(上渡雅埠)(廣西漢語方言)_韻母,平南(上渡雅埠)(廣西漢語方言)_調值,平南(上渡雅埠)(廣西漢語方言)_調類,中山(隆都)(珠江三角洲)_聲母,中山(隆都)(珠江三角洲)_韻母,中山(隆都)(珠江三角洲)_調值,中山(隆都)(珠江三角洲)_調類,中山(隆都)(廣東閩方言)_聲母,中山(隆都)(廣東閩方言)_韻母,中山(隆都)(廣東閩方言)_調值,中山(隆都)(廣東閩方言)_調類,中山(三鄉)_聲母,中山(三鄉)_韻母,中山(三鄉)_調值,中山(三鄉)_調類,曼谷(潮州話)_聲母,曼谷(潮州話)_韻母,曼谷(潮州話)_調值,曼谷(潮州話)_調類,將樂(城關話)_聲母,將樂(城關話)_韻母,將樂(城關話)_調值,將樂(城關話)_調類,晉江(青陽鎮)_聲母,晉江(青陽鎮)_韻母,晉江(青陽鎮)_調值,晉江(青陽鎮)_調類
12128,tsʰ,uan,31,去聲,,,,,,,,,ts,uan,33,陽去,,,,,,,,,,,,,,,,,,,,,ts,uaŋ,35,陽上,,,,,,,,,,,,,,,,,,,,,,,,,ts,uoŋ,21,陽去,,,,,,,,,,,,,,,,,,,,,ts,uaŋ,213,陽去,ts,uaŋ,23,陽去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,uɪ̃,53,陽上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12129,s/s,an/uã,55/55,陰上/陰上,s,an,53,上聲,s,ũã/an,51,上,s,an,53,上聲,,,,,s,aŋ,53,陰上,s,uã,53,陰上,s,ũã,53,陰上,s,uã,53,陰上,s,uã,52,陰上,s,uã,53,陰上,s,aŋ,53,陰上,s,uã,53,上聲,tsʰ,aŋ,53,陰上,tsʰ,an,31,陰上,s,aŋ,52,陰上,ɬ,aŋ,32,上聲,ɬ,aŋ,453,上聲,s,aŋ,42,上聲,s,aŋ,33,上聲,s,aŋ,31,上,,,,,s,aŋ,51,上聲,s,aŋ,42,上聲,s,aŋ,42,上聲,s,yaiŋ,21,上聲,s,uaiŋ,21,上聲,s,ueiŋ,21,上聲,s,ueiŋ,223,上聲,s,uɪŋ,21,上,s,uiŋ,21,,s,uẽ/ɔɪ̃,21,陰上,s,aŋ,31,上聲,ʃ,iaiŋ/ɛ̃,21,陰上,tsʰ,iɐn,45,陰上,tsʰ,an,24,上聲,tsʰ,an,24,陰上,tsʰ,an,13,陰上,s,ũã,53,陰上,ʃ,uɛ̃,51,上,s,uã/an,55,上聲
12139,0/h,an/an,11/11,陽上/陽上,h,an,22,陽去,0/h,an,33,陽去,0,an,33,陽去,,,,,,,,,h,aŋ,35,陽上,h,aŋ,35,陽上,h,aŋ,35,陽上,h,aŋ,35,陽上,h,aŋ,35,陽上,h,aŋ,35,陽上,h,aŋ,22,陽去,h,aŋ,24,陽上,h,an,44,陰去,h,aŋ,33,陽上,h,aŋ,21,陽去,h,aŋ,11,陽去,0,eiŋ,324,陽去,,,,,0,aiŋ,242,陽去,,,,,0/x,ɛŋ/ɔŋ,213,陽去,0,ɛiŋ,23,陽去,0,ɛŋ,332,陽去,x,aiŋ,55,陽去,x,aiŋ,45,陽去,x,aiŋ,43,陽去,h,aŋ,45,陽去,x,aiŋ,44,陽去,x,aiŋ,44,陽去,x,ɔɪ̃,53,陽上,x,aŋ,54,陽去,h,ɛ̃,353,陽上,0,an,22,陽去,h,an,31/33,陽去/陽平,h,an,31,陽去,h,an,33,陰平,h,aŋ,35,陽上,x,ɛ̃,231,陽去,h,an,33,陰平
12145,k,an,55,陰上,k,an,53,上聲,k,an,51,上,k,an,53,上聲,,,,,,,,,k,aŋ,53,陰上,k,aŋ,53,陰上,k,aŋ,53,陰上,k,aŋ,52,陰上,k,aŋ,53,陰上,k,aŋ,53,陰上,k,aŋ,53,上聲,k,aŋ,53,陰上,k,an,31,陰上,k,aŋ,52,陰上,k,aŋ,32,上聲,k,aŋ,453,上聲,k,aŋ,42,上聲,,,,,k,aŋ,31,上,k,aŋ,33,上聲,k,aŋ,51,上聲,k,aŋ,42,上聲,k,aŋ,42,上聲,k,aiŋ,21,上聲,k,aiŋ,21,上聲,k,aiŋ,21,上聲,k,aŋ,223,上聲,k,aiŋ,21,上,k,aiŋ,21,上聲,k,ɔɪ̃,21,陰上,k,aŋ,31,上聲,k,ɛ̃,21,陰上,k,an,45,陰上,k,an,24,上聲,k,an,24,陰上,k,an,13,陰上,k,aŋ,53,陰上,k,ɛ̃,51,上,k,an,55,上聲
12148,k,uĩ,55,陰上,,,,,,,,,k,ɛŋ,53,上聲,,,,,,,,,,,,,,,,,,,,,k,oĩ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,ieŋ,33,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,ɔɪ̃,21,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12149,k,an,55,陰上,k,an,53,上聲,k,an,51,上,k,an,53,上聲,,,,,,,,,,,,,k,aŋ,53,陰上,,,,,k,aŋ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,k,aŋ,32,上聲,k,aŋ,453,上聲,k,aŋ,21,陰去,,,,,k,aŋ,31,上,k,aŋ,33,上聲,k,aŋ,35,陰去,,,,,k,aŋ,42,上聲,k,aiŋ,21,上聲,k,aŋ,33,陰去,k,aiŋ,21,上聲,,,,,k,aiŋ,21,上,k,aiŋ,21,上聲,,,,,k,aŋ,31,上聲,k,ɛ̃,21,陰上,k,an,45,陰上,k,an,24,上聲,,,,,,,,,k,aŋ,53,陰上,k,ɛ̃,51,上,k,an,55,上聲
12151,k/k,an/uĩ,55/55,陰上/陰上,k,iŋ/an,53,上聲,k,ɪŋ/an,51,上,k,ɛŋ,53,上聲,,,,,,,,,k,oĩ,53,陰上,k,õĩ/aŋ,53,陰上,k,aĩ,53,陰上,k,oĩ,52,陰上,k,oĩ,53,陰上,k,aĩ,53,陰上,,,,,k,ãi,53,陰上,k,ai,31,陰上,k,ai,52,陰上,k,ĩ,32,上聲,k,e,453,上聲,k,eiŋ,42,上聲,k,eiŋ,33,上聲,k,eiŋ,31,上,,,,,k,ɛŋ,51,上聲,k,eiŋ,42,上聲,k,ɛŋ,42,上聲,k,aiŋ,21,上聲,,,,,,,,,,,,,k,aiŋ,21,上,k,aiŋ,21,上聲,k,ẽ,21,陰上,k,ioŋ/ieŋ,31,上聲,k,iaiŋ,21,陰上,k,an,45,陰上,k,iɛn/an,24,上聲,k,en,24,陰上,k,ai,13,陰上,k,aŋ,53,陰上,k,ɛ̃,51,上,k,uɪ̃,55,上聲
12152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ,uã,55,上聲
12153,tʰ/tsʰ,uã/ian,55/55,陰上/陰上,tʰ/tsʰ,uã/an,53,上聲,tsʰ,iɛn/ũã/an,51,上,s/tʰ/tsʰ,an,53,上聲,,,,,tsʰ,uã,53,陰上,,,,,tʰ/tsʰ,ũã/aŋ,53,陰上,,,,,tʰ/tsʰ,uã/aŋ,52,陰上,,,,,,,,,,,,,tsʰ,aŋ,53,陰上,,,,,,,,,tʰ/tsʰ,yã/iã,32,上聲,tsʰ,ia,453,上聲,tsʰ,iaŋ,42,上聲,,,,,tsʰ,aŋ,31,上,tsʰ,iaŋ,33,上聲,,,,,,,,,tsʰ,am,42,上聲,,,,,tʰ/tsʰ,yiŋ/uaiŋ,21,上聲,tsʰ,yeiŋ,21,上聲,tsʰ,ueiŋ,223,上聲,tʰ/tsʰ,uɪŋ,21,上,tsʰ,uiŋ,21,上聲,tsʰ,ɔɪ̃,21,陰上,,,,,,,,,tsʰ,iɐn,45,陰上,tsʰ,an,24,上聲,,,,,,,,,tsʰ,aŋ,53,陰上,tʃʰ,uɛ̃,51,上,tsʰ,ian,55,上聲
12155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʃʰ,aŋ,55,陰平,,,,
12166,g/g,an/uĩ,55/55,陰上/陰上,g,iŋ/an,53,上聲,g,ɪŋ/an,51,上,g,an,53,上聲,,,,,g,aŋ,53,陰上,,,,,0/ŋ,õĩ/aŋ,53,陰上,,,,,0/ŋ,oĩ/aŋ,52,陰上,,,,,,,,,,,,,ŋ,aŋ,53,陰上,,,,,,,,,ŋ,ĩ/aŋ,32,上聲,ŋ,e/aŋ,453,上聲,ŋ,eiŋ/aŋ,42,上聲,ŋ/ŋ,aŋ/eiŋ,33/33,上聲/上聲,ŋ,aŋ/eiŋ/iaŋ,31,上,ŋ,iaŋ/aŋ,33,上聲,ŋ,aŋ,51,上聲,ŋ,eiŋ/aŋ,42,上聲,ŋ,iaŋ/aŋ,42,上聲,ŋ,aiŋ,21,上聲,ŋ,aiŋ,21,上聲,ŋ,aiŋ,21,上聲,ŋ,aŋ,223,上聲,ŋ,aiŋ,21,上,ŋ,aiŋ,21,上聲,ŋ,ɔɪ̃,21,陰上,ŋ,aŋ,31,上聲,ŋ,ɛ̃,21,陰上,ŋ,an,45,陰上,ŋ,an,24,上聲,,,,,,,,,ŋ,aŋ,53,陰上,ŋ,ɛ̃,51,上,g,an,55,上聲
12168,,,,,,,,,,,,,,,,,,,,,ts,uã,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,uã,53,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,iɐn,45,陰上,ts,an,24,上聲,,,,,,,,,ts,aŋ,53,陰上,,,,,,,,
12169,ts/ts,an/uã,55/55,陰上/陰上,ts,uã/an,53,上聲,ts,ũã/an,51,上,ts,uã/an,53,上聲,,,,,ts,uã,53,,ts,uã,53,陰上,ts,ũã/aŋ,53,陰上,ts,uã,53,陰上,ts,uã,52,陰上,ts,uã,53,陰上,ts,uã,53,陰上,ts,uã,53,上聲,ts,uã,53,陰上,ts,an,31,陰上,ts,aŋ,52,陰上,ts,uã/aŋ,32,上聲,ts,ua/aŋ,453/13,上聲/陽平,ts,aŋ,42,上聲,,,,,ts,aŋ,31,上,ts/tsʰ,aŋ,33,上聲,ts,aŋ,51,上聲,ts,aŋ,42,上聲,ts,aŋ,42,上聲,ts,aiŋ,21,上聲,ts,aiŋ,21,上聲,ts,aiŋ,21,上聲,ts,aŋ,223,上聲,ts,aiŋ,21,上,ts,aiŋ,21,上聲,ts,ɔɪ̃,21,陰上,ts,aŋ,54,陽去,,,,,ts,iɐn,45,陰上,ts,an,24,上聲,ts,an,24,陰上,ts,an,13,陰上,ts,aŋ,53,陰上,tʃ,ɛ̃,21/51,陰入/上,ts,uã/an,55,上聲
12170,,,,,,,,,,,,,,,,,,,,,ts,uã,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,uã,53,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,iɐn,45,陰上,ts,an,24,上聲,,,,,,,,,ts,aŋ,53,陰上,,,,,,,,
12174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,iaŋ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,iŋ,42,上聲,s,ɛŋ,42,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12176,,,,,s,ian,53,上聲,,,,,s,ian,53,上聲,,,,,,,,,,,,,,,,,,,,,s,iaŋ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,ieŋ,33,上聲,,,,,s,ieŋ,33,上聲,s,ieŋ,51,上聲,s,iŋ,42,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12180,,,,,,,,,,,,,,,,,,,,,tsʰ,iŋ,53,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12181,tsʰ,uĩ,55,陰上,tsʰ,iŋ,53,上聲,,,,,s/tsʰ,ɛŋ,53,上聲,,,,,tsʰ,iŋ,53,陰上,,,,,,,,,,,,,tsʰ,oĩ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,tsʰ,ĩ,32,上聲,tsʰ,e,453,上聲,tsʰ,eiŋ,42,上聲,tsʰ,eiŋ,33,上聲,,,,,tsʰ,eŋ,33,上聲,s/tsʰ,ieŋ/ɛŋ,51,上聲,,,,,tsʰ,ɛŋ,42,上聲,h,iŋ,21,上聲,tʰ,iŋ,21,上聲,h,ieiŋ,21,上聲,tʰ,iŋ,223,上聲,,,,,tʰ,iŋ,21,上聲,tsʰ,ɔɪ̃,21,陰上,tsʰ,aŋ,5,入聲,tsʰ,ɛ̃,21,陰上,,,,,,,,,,,,,,,,,,,,,tʃʰ,ɛ̃,21/51,陰入/上,tsʰ,uɪ̃,55,上聲
12185,,,,,tʰ,ian,53,上聲,,,,,tʰ,ian,53,上聲,,,,,,,,,,,,,,,,,,,,,tʰ,iaŋ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ieŋ,42,上聲,,,,,,,,,tʰ,eŋ,33,上聲,tʰ,ieŋ,51,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ian,45,陰上,t,in,24,上聲,,,,,,,,,t,iaŋ,53,陰上,,,,,,,,
12200,t,ian,55,陰上,t,ian,53,上聲,t,iɛn,51,上,t,ian,53,上聲,,,,,t,iaŋ,53,陰上,t,ieŋ,53,陰上,t,ieŋ,53,陰上,t,iaŋ,53,陰上,t,iaŋ,52,陰上,t,iaŋ,53,陰上,t,iaŋ,53,陰上,t,iaŋ,53,上聲,t,eŋ,53,陰上,t,in,31,陰上,t,ieŋ,52,陰上,t,ɛŋ,32,上聲,t,ɛŋ,453,上聲,t,eiŋ/ieŋ,42,上聲,t,ieŋ,33,上聲,t,ieŋ/eiŋ,31,上,t,eŋ/ieŋ,33,上聲,t,ieŋ,51,上聲,t,iŋ,42,上聲,t,ɛŋ,42,上聲,t,iŋ,21,上聲,t,iŋ,21,上聲,t,ieiŋ,21,上聲,t,iŋ,223,上聲,t,iɪŋ,21,上聲,t,iŋ,21,上聲,t,,,,t,ieŋ,31,上聲,t,aiŋ,21,陰上,t,ian,45,陰上,t,iɛn/in,24,上聲,t,in/ien,24,陰上,t,in,13,陰上,t,iaŋ,53,陰上,t,iɛ̃,51,上,t,ian,55,上聲
12213,k/k,ian/uĩ,55/55,陰上/陰上,k,ian,53,上聲,k,ɪŋ/iɛn,51,上,k,ɛŋ,53,上聲,,,,,,,,,k,oĩ,53,陰上,k,õĩ,53,陰上,k,aĩ,53,陰上,k,oĩ,52,陰上,k,oĩ,53,陰上,k,aĩ,53,陰上,k,aĩ,53,上聲,,,,,k,an,31,陰上,k,ai,52,陰上,ŋ,ĩ,32,上聲,ŋ,e,453,上聲,k,eiŋ,42,上聲,,,,,k,ieŋ/eiŋ,31,上,k,ieŋ,33,上聲,k,ieŋ,51,上聲,k,iŋ,42,上聲,k,ɛŋ,42,上聲,k,aŋ,21,上聲,k,aiŋ,21,上聲,k,aiŋ,21,上聲,k,aŋ,223,上聲,k,aiŋ,21,上,k,aiŋ,21,上聲,k,ɔɪ̃,21,陰上,k,aŋ,31,上聲,k,ɛ̃,21,陰上,k,an,45,陰上,k,an,24,上聲,k,ien,24,陰上,k,ai,13,陰上,k,õĩ,53,陰上,k,ɛ̃,51,上,k,ian,55,上聲
12216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,an,24,上聲,,,,,,,,,,,,,,,,,,,,
12217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋ,e,453,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,ieŋ,51,上聲,k,eiŋ,42,上聲,k,ɛŋ,42,上聲,h,aiŋ,51,陰平,ɦ,aiŋ,21,上聲,0,aiŋ,21,上聲,h,aŋ,31,陽平乙,,,,,,,,,0,ɔɪ̃,21,陰上,x,aŋ,31,上聲,,,,,,,,,,,,,,,,,,,,,,,,,k/x,iɛ̃/aŋ,51,上,,,,
12231,k,an,31,去聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,oĩ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,e,453,上聲,,,,,,,,,,,,,h,ieŋ,21,陰去,x,ieŋ,51,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,an,31,去聲
12239,h,ian,55,陰上,h,iã/ian,53,上聲,h,ĩã/iɛn,51,上,h,ian,53,上聲,,,,,,,,,h,ieŋ,53,陰上,h,ieŋ,53,陰上,h,iaŋ,53,陰上,h,iaŋ,52,陰上,h,iaŋ,53,陰上,h,iaŋ,53,陰上,h,iaŋ,53,上聲,h,iaŋ,53,陰上,h,in,31,陰上,h,ieŋ,52,陰上,h,ɛŋ,32,上聲,h,iaŋ,453,上聲,h,ieŋ,42,上聲,,,,,x,ieŋ,31,上,h,ieŋ,33,上聲,x,ieŋ,51,上聲,h,iŋ,42,上聲,x,ɛŋ,42,上聲,x,iŋ,21,上聲,x,iŋ,21,上聲,x,ieiŋ,21,上聲,h,iŋ,223,上聲,x,iɪŋ,21,上,x,iŋ,21,上聲,,,,,x,ieŋ,31,上聲,ʃ,iaiŋ,21,陰上,h,in,45,陰上,h,ɛn/in,24,上聲,h,in/ien,24,陰上,h,in,13,陰上,h,iaŋ,53,陰上,ʃ,ɛ̃,51,上,h,ian,55,上聲
12248,l,ian,55,陰上,,,,,,,,,l,ian,53,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,ieŋ,32,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,ɔŋ,22,陽平,,,,,,,,,,,,,n,ueiŋ,41,陽入,,,,,,,,,,,,,,,,,,,,,n,ian,45,陰上,n,ɔn/ɐn,24,上聲,,,,,,,,,,,,,,,,,l,ian,55,上聲
12250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,ian,45,陰上,n,in,24,上聲,,,,,,,,,,,,,,,,,,,,
12253,p,ian,55,陰上,p,ian,53,上聲,p,iɛŋ,51,上,p,ian,53,上聲,,,,,p,iaŋ,53,陰上,,,,,p,ieŋ,53,陰上,,,,,p,ĩ/iŋ/iaŋ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,p,aŋ/ɛŋ,32,上聲,,,,,p,ieŋ,42,上聲,,,,,p,ieŋ,31,上,p,ieŋ,33,上聲,p,ieŋ,51,上聲,p,iŋ,42,上聲,p,ɛŋ,42,上聲,p,iŋ,21,上聲,p,iŋ,21,上聲,,,,,p,iŋ,223,上聲,p,iɪŋ,21,上,p,iŋ,21,上聲,p,ẽ,21,陰上,p,ieŋ,31,上聲,p,aiŋ,21,陰上,p,ian,45,陰上,p,iɛn/in,24,上聲,,,,,,,,,p,ĩ,53,陰上,p,iɛ̃,51,上,p,ian,55,上聲
12261,p/p,ĩ/ian,55/55,陰上/陰上,p,ĩ/ian,53,上聲,p,ĩ/in/iɛn,51,上,p,ĩ/ian,53,上聲,,,,,p,iaŋ/iŋ,53,陰上,p,ieŋ/ĩ,53,陰上,p,ĩ/ieŋ,53,陰上,p,iaŋ/ĩ,53,陰上,p,ĩ/iaŋ,52,陰上,p,iaŋ/ĩ,53,陰上,p,iaŋ/ĩ,53,陰上,p,iaŋ/ĩ,53,上聲,p,ĩ,53,陰上,p,in,31,陰上,p,ieŋ,52,陰上,p,aŋ/uĩ/ɛŋ,32,上聲,p,ɛŋ,453,上聲,p,ieŋ,42,上聲,p,ieŋ,33,上聲,p,ieŋ,31,上,p,ieŋ,33,上聲,p,ieŋ,51,上聲,p,iŋ,42,上聲,p,ɛŋ,42,上聲,β,iŋ,21,上聲,b/p,iŋ,21,上聲,p,ieiŋ,21,上聲,p,eiŋ/iŋ,223/31,上聲/陽平乙,p,eiŋ/iɪŋ,21,上,p,eiŋ/iŋ,21,上聲,p,ẽ,21,陰上,,,,,p,aiŋ,21,陰上,p,ian,45,陰上,p,iɛn/in,24,上聲,p,ien,24,陰上,p,i,13,陰上,p,ĩ,53,陰上,p,iɛ̃,21/51,陰入/上,p,ɪ̃/ian,55,上聲
12284,kʰ,in,55,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12285,p/p,ĩ/ian,11/11,陽上/陽上,p,ĩ/ian,22,陽去,p,ĩ/iɛm,33,陽去,p,an/ĩ/ian,33,陽去,,,,,p,iŋ,31,去,p,ĩ,33,陰平,p,ĩ,35/33,陽上/陰平,p,ĩ,33,陰平,p,ĩ,33/35,陰平/陽上,p,ĩ,33,陰平,p,ĩ,33,陰平,p,ĩ,22,陽去,p,ĩ,24,陽上,p,in,44,陰去,p,ieŋ,213,陰平,p,iŋ/ɛŋ,21,陽去,p,iŋ/ɛŋ,11,陽去,p,ieŋ,324,陽去,p,iɛŋ,131,陽去,p,ieŋ,242,陽去,p,ieŋ,41,陽去,p,ieŋ,213,陽去,p,iŋ,23,陽去,p,iŋ,332,陽去,β,iŋ,22,陰去,b,iŋ,33,陰去,p,ieiŋ,332,陰去,p,iŋ,41,陽入,p,iɪŋ,42,陽入,p,iŋ,42,陽入,p,ɪ̃,33/53,陰平/陽上,p,ieŋ,33,陰平,p,aiŋ,353,陽上,p,i,11,陰去,p,iɛn/in,55,陰平,p,ien,55,陰平,p,i,33,陰平,p,ĩ,33,陰平,p,iɛ̃,51/55,上/陰平,p,ɪ̃,33,陰平
12292,kʰ,ian,55,陰上,kʰ,ian,53,上聲,kʰ,iɛn,51,上,kʰ,ian,53,上聲,,,,,kʰ,iaŋ/uŋ,53,陰上,,,,,kʰ,ieŋ,53,陰上,,,,,kʰ,iaŋ,52,陰上,,,,,,,,,,,,,,,,,,,,,,,,,kʰ,yøŋ,32,上聲,kʰ,œŋ,453,上聲,kʰ,eiŋ,42,上聲,kʰ,eiŋ,33,上聲,kʰ,eiŋ,31,上,,,,,kʰ,ɛŋ,51,上聲,kʰ,eiŋ,42,上聲,kʰ,ɛŋ,42,上聲,kʰ,yiŋ,21,上聲,kʰ,yiŋ,21,上聲,kʰ,yeiŋ,21,上聲,kʰ,yŋ,223,上聲,kʰ,yɪŋ,21,上,kʰ,yiŋ,21,上聲,k,yẽ,21,陰上,kʰ,ieŋ,31,上聲,kʰ,yaiŋ,21,陰上,h,iɐn,45,陰上,kʰ,in,24,上聲,,,,,,,,,kʰ,iaŋ,53,陰上,kʰ,yø̃,51,上,kʰ,ian,55,上聲
