id,字形,攝,聲調,韻目,字母,開合,等第,清濁,上字,下字,又音,又切
20599,,通,入,屋,心,合,三,全清,息,逐,蕭,
20600,驌,通,入,屋,心,合,三,全清,息,逐,,
20601,,通,入,屋,心,合,三,全清,息,逐,縮,
20602,,通,入,屋,心,合,三,全清,息,逐,,所六
20603,鱐,通,入,屋,心,合,三,全清,息,逐,,
20604,,通,入,屋,心,合,三,全清,息,逐,篠,
20605,,通,入,屋,心,合,三,全清,息,逐,,
20606,潚,通,入,屋,心,合,三,全清,息,逐,,蘇彫
20607,橚,通,入,屋,心,合,三,全清,息,逐,,蘇彫
20608,,通,入,屋,心,合,三,全清,息,逐,,蘇弔/所六/蘇彫/先鳥
20609,,通,入,屋,心,合,三,全清,息,逐,,
20610,,通,入,屋,心,合,三,全清,息,逐,,
20611,,通,入,屋,心,合,三,全清,息,逐,,
20612,,通,入,屋,心,合,三,全清,息,逐,,
20613,目,通,入,屋,明,合,三,次濁,莫,六,,
20614,睦,通,入,屋,明,合,三,次濁,莫,六,,
20615,穆,通,入,屋,明,合,三,次濁,莫,六,,
20616,苜,通,入,屋,明,合,三,次濁,莫,六,,
20617,,通,入,屋,明,合,三,次濁,莫,六,,
20618,牧,通,入,屋,明,合,三,次濁,莫,六,,
20619,,通,入,屋,明,合,三,次濁,莫,六,,
20620,繆,通,入,屋,明,合,三,次濁,莫,六,,莫浮/武彪/靡幼
20621,萺,通,入,屋,明,合,三,次濁,莫,六,,莫沃
20622,,通,入,屋,明,合,三,次濁,莫,六,,
20623,,通,入,屋,明,合,三,次濁,莫,六,,
20624,囿,通,入,屋,云,合,三,次濁,于,六,,于救
20625,,通,入,屋,云,合,三,次濁,于,六,,
20626,蓄,通,入,屋,徹,合,三,次清,丑,六,,許救/丑救/許竹
20627,,通,入,屋,徹,合,三,次清,丑,六,,許竹
20628,滀,通,入,屋,徹,合,三,次清,丑,六,,
20629,苖,通,入,屋,徹,合,三,次清,丑,六,,徒歷/他六
20630,,通,入,屋,徹,合,三,次清,丑,六,,許竹/恥力
20631,蓫,通,入,屋,徹,合,三,次清,丑,六,,許竹/直六
20632,敊,通,入,屋,徹,合,三,次清,丑,六,,
20633,,通,入,屋,徹,合,三,次清,丑,六,,
20634,鄐,通,入,屋,徹,合,三,次清,丑,六,,許竹
20635,矗,通,入,屋,徹,合,三,次清,丑,六,,初六
20636,砡,通,入,屋,疑,合,三,次濁,魚,菊,,
20637,,通,入,屋,從,合,三,全濁,才,六,,子荅/子六
20638,沃,通,入,沃,影,合,一,全清,烏,酷,,
20639,鋈,通,入,沃,影,合,一,全清,烏,酷,,
20640,鱟,通,入,沃,影,合,一,全清,烏,酷,候,
20641,,通,入,沃,影,合,一,全清,烏,酷,屋,
20642,,通,入,沃,影,合,一,全清,烏,酷,,古岳
20643,觷,通,入,沃,影,合,一,全清,烏,酷,,戶角/五角
20644,,通,入,沃,影,合,一,全清,烏,酷,,胡覺/古岳
20645,毒,通,入,沃,定,合,一,全濁,徒,沃,,
20646,,通,入,沃,定,合,一,全濁,徒,沃,,
20647,,通,入,沃,定,合,一,全濁,徒,沃,,
20648,蝳,通,入,沃,定,合,一,全濁,徒,沃,,
20649,,通,入,沃,定,合,一,全濁,徒,沃,代,徒得
20650,纛,通,入,沃,定,合,一,全濁,徒,沃,,徒号
20651,,通,入,沃,定,合,一,全濁,徒,沃,,
20652,碡,通,入,沃,定,合,一,全濁,徒,沃,,直六/徒谷
20653,篤,通,入,沃,端,合,一,全清,冬,毒,,
20654,竺,通,入,沃,端,合,一,全清,冬,毒,,丁木/張六
20655,督,通,入,沃,端,合,一,全清,冬,毒,,
20656,,通,入,沃,端,合,一,全清,冬,毒,,
20657,,通,入,沃,端,合,一,全清,冬,毒,,都導
20658,,通,入,沃,端,合,一,全清,冬,毒,,
20659,錖,通,入,沃,端,合,一,全清,冬,毒,,
20660,,通,入,沃,端,合,一,全清,冬,毒,,
20661,,通,入,沃,端,合,一,全清,冬,毒,,
20662,裻,通,入,沃,端,合,一,全清,冬,毒,,先篤
20663,,通,入,沃,端,合,一,全清,冬,毒,,
20664,酷,通,入,沃,溪,合,一,次清,苦,沃,,
20665,,通,入,沃,溪,合,一,次清,苦,沃,,
20666,,通,入,沃,溪,合,一,次清,苦,沃,,
20667,嚳,通,入,沃,溪,合,一,次清,苦,沃,,
20668,硞,通,入,沃,溪,合,一,次清,苦,沃,,苦角
20669,,通,入,沃,溪,合,一,次清,苦,沃,,
20670,鵠,通,入,沃,匣,合,一,全濁,胡,沃,,
20671,,通,入,沃,匣,合,一,全濁,胡,沃,,胡覺
20672,翯,通,入,沃,匣,合,一,全濁,胡,沃,學,許角
20673,,通,入,沃,匣,合,一,全濁,胡,沃,,
20674,,通,入,沃,匣,合,一,全濁,胡,沃,,
20675,,通,入,沃,匣,合,一,全濁,胡,沃,,
20676,,通,入,沃,匣,合,一,全濁,胡,沃,,
20677,礐,通,入,沃,匣,合,一,全濁,胡,沃,,五角/苦角/力摘/胡谷
20678,僕,通,入,沃,並,合,一,全濁,蒲,沃,,蒲木
20679,,通,入,沃,並,合,一,全濁,蒲,沃,,
20680,鏷,通,入,沃,並,合,一,全濁,蒲,沃,,
20681,,通,入,沃,並,合,一,全濁,蒲,沃,,蒲木
20682,轐,通,入,沃,並,合,一,全濁,蒲,沃,,博木
20683,,通,入,沃,並,合,一,全濁,蒲,沃,,普木
20684,洬,通,入,沃,心,合,一,全清,先,篤,,
20685,裻,通,入,沃,心,合,一,全清,先,篤,,冬毒
20686,梏,通,入,沃,見,合,一,全清,古,沃,,古岳
20687,牿,通,入,沃,見,合,一,全清,古,沃,,
20688,,通,入,沃,見,合,一,全清,古,沃,,
20689,,通,入,沃,見,合,一,全清,古,沃,,之若
20690,告,通,入,沃,見,合,一,全清,古,沃,誥,
20691,郜,通,入,沃,見,合,一,全清,古,沃,誥,
20692,祰,通,入,沃,見,合,一,全清,古,沃,,苦浩
20693,,通,入,沃,見,合,一,全清,古,沃,,空谷
20694,,通,入,沃,見,合,一,全清,古,沃,,胡谷
20695,瑁,通,入,沃,明,合,一,次濁,莫,沃,,莫報/莫代
20696,,通,入,沃,明,合,一,次濁,莫,沃,,莫報
20697,媢,通,入,沃,明,合,一,次濁,莫,沃,,武道/彌二/莫報
20698,艒,通,入,沃,明,合,一,次濁,莫,沃,,莫卜/莫北
20699,萺,通,入,沃,明,合,一,次濁,莫,沃,,莫六
20700,蓩,通,入,沃,明,合,一,次濁,亡,毒,,武道
20701,熇,通,入,沃,曉,合,一,次清,火,酷,,呵各/呼木
20702,臛,通,入,沃,曉,合,一,次清,火,酷,郝,呼木
20703,,通,入,沃,曉,合,一,次清,火,酷,,呼木
20704,歊,通,入,沃,曉,合,一,次清,火,酷,囂,
20705,褥,通,入,沃,泥,合,一,次濁,內,沃,,而蜀
20706,,通,入,沃,泥,合,一,次濁,內,沃,,
20707,耨,通,入,沃,泥,合,一,次濁,內,沃,,奴豆
20708,,通,入,沃,泥,合,一,次濁,內,沃,,女角
20709,傶,通,入,沃,精,合,一,全清,將,毒,,
20710,,通,入,沃,精,合,一,全清,將,毒,,在各
20711,,通,入,沃,精,合,一,全清,將,毒,,
20712,襮,通,入,沃,幫,合,一,全清,博,沃,,補各
20713,犦,通,入,沃,幫,合,一,全清,博,沃,,蒲角
20714,,通,入,沃,幫,合,一,全清,博,沃,,博木/北角/博報
20715,濼,通,入,沃,來,合,一,次濁,盧,毒,,以灼/力各/匹各/盧谷/普木/郎擊
20716,,通,入,沃,疑,合,一,次濁,五,沃,岳,
20717,燭,通,入,燭,章,合,三,全清,之,欲,,
20718,屬,通,入,燭,章,合,三,全清,之,欲,蜀,
20719,,通,入,燭,章,合,三,全清,之,欲,,
20720,矚,通,入,燭,章,合,三,全清,之,欲,,
20721,,通,入,燭,章,合,三,全清,之,欲,,
20722,囑,通,入,燭,章,合,三,全清,之,欲,,
20723,鸀,通,入,燭,章,合,三,全清,之,欲,,直角
20724,,通,入,燭,章,合,三,全清,之,欲,,
20725,,通,入,燭,章,合,三,全清,之,欲,,況逼/於六
20726,噣,通,入,燭,章,合,三,全清,之,欲,,陟救/都豆/竹角
20727,蠾,通,入,燭,章,合,三,全清,之,欲,蜀,
20728,韣,通,入,燭,章,合,三,全清,之,欲,,市玉/大谷
20729,蠋,通,入,燭,章,合,三,全清,之,欲,,直錄/市玉
20730,玉,通,入,燭,疑,合,三,次濁,魚,欲,,
20731,獄,通,入,燭,疑,合,三,次濁,魚,欲,,
20732,鳿,通,入,燭,疑,合,三,次濁,魚,欲,,
20733,頊,通,入,燭,疑,合,三,次濁,魚,欲,勗,魚欲
20734,旭,通,入,燭,曉,合,三,次清,許,玉,,
20735,頊,通,入,燭,曉,合,三,次清,許,玉,,
20736,勗,通,入,燭,曉,合,三,次清,許,玉,,
20737,,通,入,燭,曉,合,三,次清,許,玉,,
20738,,通,入,燭,曉,合,三,次清,許,玉,,
20739,輂,通,入,燭,見,合,三,全清,居,玉,,
20740,絭,通,入,燭,見,合,三,全清,居,玉,,去願/居願/居倦/區倦
20741,鋦,通,入,燭,見,合,三,全清,居,玉,,
20742,挶,通,入,燭,見,合,三,全清,居,玉,,
20743,,通,入,燭,見,合,三,全清,居,玉,,居六
20744,梮,通,入,燭,見,合,三,全清,居,玉,,
20745,,通,入,燭,見,合,三,全清,居,玉,,
20746,,通,入,燭,見,合,三,全清,居,玉,,
20747,,通,入,燭,見,合,三,全清,居,玉,,
20748,拲,通,入,燭,見,合,三,全清,居,玉,,己奉
20749,,通,入,燭,見,合,三,全清,居,玉,,
20750,,通,入,燭,見,合,三,全清,居,玉,,
20751,局,通,入,燭,羣,合,三,全濁,渠,玉,,
20752,跼,通,入,燭,羣,合,三,全濁,渠,玉,,
20753,駶,通,入,燭,羣,合,三,全濁,渠,玉,,
20754,侷,通,入,燭,羣,合,三,全濁,渠,玉,,
20755,,通,入,燭,羣,合,三,全濁,渠,玉,,
20756,蜀,通,入,燭,禪,合,三,全濁,市,玉,,
20757,韣,通,入,燭,禪,合,三,全濁,市,玉,,之欲/徒谷
20758,蠾,通,入,燭,禪,合,三,全濁,市,玉,,之欲
20759,,通,入,燭,禪,合,三,全濁,市,玉,,
20760,,通,入,燭,禪,合,三,全濁,市,玉,,
20761,襩,通,入,燭,禪,合,三,全濁,市,玉,,
20762,,通,入,燭,禪,合,三,全濁,市,玉,,徒谷
20763,襡,通,入,燭,禪,合,三,全濁,市,玉,,大口/都豆/當口/徒谷
20764,屬,通,入,燭,禪,合,三,全濁,市,玉,燭,
20765,,通,入,燭,禪,合,三,全濁,市,玉,,
20766,,通,入,燭,禪,合,三,全濁,市,玉,,
20767,鐲,通,入,燭,禪,合,三,全濁,市,玉,,直角
20768,觸,通,入,燭,昌,合,三,次清,尺,玉,,
20769,觕,通,入,燭,昌,合,三,次清,尺,玉,,徂古/倉胡
20770,歜,通,入,燭,昌,合,三,次清,尺,玉,,徂感
20771,臅,通,入,燭,昌,合,三,次清,尺,玉,,
20772,辱,通,入,燭,日,合,三,次濁,而,蜀,,
20773,蓐,通,入,燭,日,合,三,次濁,而,蜀,,
20774,褥,通,入,燭,日,合,三,次濁,而,蜀,,內沃
20775,鄏,通,入,燭,日,合,三,次濁,而,蜀,,
20776,縟,通,入,燭,日,合,三,次濁,而,蜀,,
20777,溽,通,入,燭,日,合,三,次濁,而,蜀,,
20778,,通,入,燭,日,合,三,次濁,而,蜀,,
20779,媷,通,入,燭,日,合,三,次濁,而,蜀,,
20780,嗕,通,入,燭,日,合,三,次濁,而,蜀,,
20781,,通,入,燭,日,合,三,次濁,而,蜀,,
20782,,通,入,燭,日,合,三,次濁,而,蜀,,
20783,束,通,入,燭,書,合,三,全清,書,玉,,
20784,,通,入,燭,書,合,三,全清,書,玉,,桑谷
20785,欲,通,入,燭,以,合,三,次濁,余,蜀,,
20786,浴,通,入,燭,以,合,三,次濁,余,蜀,,
20787,鵒,通,入,燭,以,合,三,次濁,余,蜀,,
20788,,通,入,燭,以,合,三,次濁,余,蜀,,
20789,鋊,通,入,燭,以,合,三,次濁,余,蜀,,
20790,輍,通,入,燭,以,合,三,次濁,余,蜀,,
20791,慾,通,入,燭,以,合,三,次濁,余,蜀,,
20792,,通,入,燭,以,合,三,次濁,余,蜀,,古祿
20793,谷,通,入,燭,以,合,三,次濁,余,蜀,穀,其虐/盧谷
20794,躅,通,入,燭,澄,合,三,全濁,直,錄,,
20795,,通,入,燭,澄,合,三,全濁,直,錄,,
20796,蠋,通,入,燭,澄,合,三,全濁,直,錄,,之欲/市玉
20797,錄,通,入,燭,來,合,三,次濁,力,玉,,
20798,淥,通,入,燭,來,合,三,次濁,力,玉,,盧谷
20799,,通,入,燭,來,合,三,次濁,力,玉,,盧谷
20800,綠,通,入,燭,來,合,三,次濁,力,玉,,
20801,醁,通,入,燭,來,合,三,次濁,力,玉,,
20802,騄,通,入,燭,來,合,三,次濁,力,玉,,
20803,,通,入,燭,來,合,三,次濁,力,玉,鹿,
20804,菉,通,入,燭,來,合,三,次濁,力,玉,,
20805,逯,通,入,燭,來,合,三,次濁,力,玉,,
20806,,通,入,燭,來,合,三,次濁,力,玉,,
20807,籙,通,入,燭,來,合,三,次濁,力,玉,,
20808,碌,通,入,燭,來,合,三,次濁,力,玉,祿,
20809,,通,入,燭,來,合,三,次濁,力,玉,,
20810,,通,入,燭,來,合,三,次濁,力,玉,,
20811,,通,入,燭,來,合,三,次濁,力,玉,,盧谷
20812,,通,入,燭,來,合,三,次濁,力,玉,,
20813,,通,入,燭,來,合,三,次濁,力,玉,,盧谷
20814,曲,通,入,燭,溪,合,三,次清,丘,玉,,
20815,,通,入,燭,溪,合,三,次清,丘,玉,,渠竹/居六
20816,,通,入,燭,溪,合,三,次清,丘,玉,,
20817,,通,入,燭,溪,合,三,次清,丘,玉,,
20818,瘃,通,入,燭,知,合,三,全清,陟,玉,,
20819,,通,入,燭,知,合,三,全清,陟,玉,,
20820,孎,通,入,燭,知,合,三,全清,陟,玉,,陟角
20821,斸,通,入,燭,知,合,三,全清,陟,玉,,
20822,钃,通,入,燭,知,合,三,全清,陟,玉,,
20823,欘,通,入,燭,知,合,三,全清,陟,玉,,直角
20824,,通,入,燭,知,合,三,全清,陟,玉,,丑足
20825,足,通,入,燭,精,合,三,全清,即,玉,,將喻
20826,哫,通,入,燭,精,合,三,全清,即,玉,,
20827,贖,通,入,燭,船,合,三,全濁,神,蜀,樹,
20828,,通,入,燭,船,合,三,全濁,神,蜀,,似足
20829,,通,入,燭,船,合,三,全濁,神,蜀,,與職
20830,,通,入,燭,奉,合,三,全濁,房,玉,,博木
20831,襆,通,入,燭,奉,合,三,全濁,房,玉,,
20832,促,通,入,燭,清,合,三,次清,七,玉,,
20833,,通,入,燭,清,合,三,次清,七,玉,,
20834,,通,入,燭,清,合,三,次清,七,玉,,千木
20835,,通,入,燭,清,合,三,次清,七,玉,,
20836,,通,入,燭,清,合,三,次清,七,玉,,
20837,,通,入,燭,清,合,三,次清,七,玉,,七雀
20838,趣,通,入,燭,清,合,三,次清,親,足,,七逾/七句/倉苟/親足
20839,續,通,入,燭,邪,合,三,全濁,似,足,,
20840,俗,通,入,燭,邪,合,三,全濁,似,足,,
20841,藚,通,入,燭,邪,合,三,全濁,似,足,,
20842,,通,入,燭,邪,合,三,全濁,似,足,,神蜀
20843,粟,通,入,燭,心,合,三,全清,相,玉,,
20844,,通,入,燭,心,合,三,全清,相,玉,,
20845,憟,通,入,燭,心,合,三,全清,相,玉,,
20846,涑,通,入,燭,心,合,三,全清,相,玉,,蘇侯/桑谷
20847,,通,入,燭,心,合,三,全清,相,玉,,
20848,玊,通,入,燭,心,合,三,全清,相,玉,,新菊/香救
20849,,通,入,燭,心,合,三,全清,相,玉,,
20850,,通,入,燭,非,合,三,全清,封,曲,,博木
20851,梀,通,入,燭,徹,合,三,次清,丑,玉,,桑谷/千木
20852,亍,通,入,燭,徹,合,三,次清,丑,玉,,中句
20853,,通,入,燭,徹,合,三,次清,丑,玉,,
20854,,通,入,燭,徹,合,三,次清,丑,玉,,丑隴
20855,,通,入,燭,徹,合,三,次清,丑,玉,,知足
20856,,通,入,燭,徹,合,三,次清,丑,玉,,
20857,豖,通,入,燭,徹,合,三,次清,丑,玉,,
20858,覺,江,入,覺,見,開,二,全清,古,岳,,古孝
20859,斠,江,入,覺,見,開,二,全清,古,岳,,
20860,角,江,入,覺,見,開,二,全清,古,岳,,盧谷
20861,桷,江,入,覺,見,開,二,全清,古,岳,,
20862,較,江,入,覺,見,開,二,全清,古,岳,,古孝
20863,,江,入,覺,見,開,二,全清,古,岳,,
20864,,江,入,覺,見,開,二,全清,古,岳,,
20865,,江,入,覺,見,開,二,全清,古,岳,,古祿
20866,,江,入,覺,見,開,二,全清,古,岳,,烏酷/胡覺
20867,,江,入,覺,見,開,二,全清,古,岳,,胡歷
20868,榷,江,入,覺,見,開,二,全清,古,岳,,
20869,捔,江,入,覺,見,開,二,全清,古,岳,,士角
20870,搉,江,入,覺,見,開,二,全清,古,岳,確,
20871,,江,入,覺,見,開,二,全清,古,岳,,烏晧
20872,梏,江,入,覺,見,開,二,全清,古,岳,,古沃
20873,傕,江,入,覺,見,開,二,全清,古,岳,,
20874,,江,入,覺,見,開,二,全清,古,岳,,下各
20875,,江,入,覺,見,開,二,全清,古,岳,,盧谷
20876,嶽,江,入,覺,疑,開,二,次濁,五,角,,
20877,岳,江,入,覺,疑,開,二,次濁,五,角,,
20878,樂,江,入,覺,疑,開,二,次濁,五,角,,盧各/五教
20879,鸑,江,入,覺,疑,開,二,次濁,五,角,,
20880,,江,入,覺,疑,開,二,次濁,五,角,,
20881,觷,江,入,覺,疑,開,二,次濁,五,角,學,烏酷
20882,,江,入,覺,疑,開,二,次濁,五,角,,
20883,,江,入,覺,疑,開,二,次濁,五,角,,五沃
20884,浞,江,入,覺,崇,開,二,全濁,士,角,,
20885,,江,入,覺,崇,開,二,全濁,士,角,,
20886,,江,入,覺,崇,開,二,全濁,士,角,,
20887,灂,江,入,覺,崇,開,二,全濁,士,角,,
20888,鷟,江,入,覺,崇,開,二,全濁,士,角,,
20889,捔,江,入,覺,崇,開,二,全濁,士,角,,古岳
20890,澩,江,入,覺,崇,開,二,全濁,士,角,,下巧/胡覺
20891,篧,江,入,覺,崇,開,二,全濁,士,角,捉,苦郭
20892,汋,江,入,覺,崇,開,二,全濁,士,角,,市若
20893,齺,江,入,覺,崇,開,二,全濁,士,角,,
20894,,江,入,覺,崇,開,二,全濁,士,角,,
20895,簎,江,入,覺,崇,開,二,全濁,士,角,,測戟/秦昔
20896,捉,江,入,覺,莊,開,二,全清,側,角,,
20897,穛,江,入,覺,莊,開,二,全清,側,角,,
20898,,江,入,覺,莊,開,二,全清,側,角,,
20899,穱,江,入,覺,莊,開,二,全清,側,角,,
20900,斮,江,入,覺,莊,開,二,全清,側,角,,側略
20901,篧,江,入,覺,莊,開,二,全清,側,角,,苦郭/士角
20902,,江,入,覺,莊,開,二,全清,側,角,,
20903,朔,江,入,覺,生,開,二,全清,所,角,,
20904,欶,江,入,覺,生,開,二,全清,所,角,,蘇奏
20905,嗽,江,入,覺,生,開,二,全清,所,角,,蘇奏/桑谷
20906,,江,入,覺,生,開,二,全清,所,角,,
20907,槊,江,入,覺,生,開,二,全清,所,角,,
20908,蒴,江,入,覺,生,開,二,全清,所,角,,
20909,數,江,入,覺,生,開,二,全清,所,角,,所矩/色句/桑谷
20910,箾,江,入,覺,生,開,二,全清,所,角,,蘇彫
20911,,江,入,覺,生,開,二,全清,所,角,,
20912,,江,入,覺,生,開,二,全清,所,角,,
20913,揱,江,入,覺,生,開,二,全清,所,角,,相邀/所交/所教
20914,,江,入,覺,生,開,二,全清,所,角,,
20915,斲,江,入,覺,知,開,二,全清,竹,角,,
20916,涿,江,入,覺,知,開,二,全清,竹,角,,
20917,諑,江,入,覺,知,開,二,全清,竹,角,,
20918,椓,江,入,覺,知,開,二,全清,竹,角,,
20919,琢,江,入,覺,知,開,二,全清,竹,角,,
20920,孎,江,入,覺,知,開,二,全清,竹,角,,陟玉
20921,卓,江,入,覺,知,開,二,全清,竹,角,,
20922,桌,江,入,覺,知,開,二,全清,竹,角,,
20923,,江,入,覺,知,開,二,全清,竹,角,,
20924,啄,江,入,覺,知,開,二,全清,竹,角,,丁木
20925,斀,江,入,覺,知,開,二,全清,竹,角,,
20926,啅,江,入,覺,知,開,二,全清,竹,角,,
20927,噣,江,入,覺,知,開,二,全清,竹,角,,都豆/陟救/之欲
20928,,江,入,覺,知,開,二,全清,竹,角,,都豆
20929,,江,入,覺,知,開,二,全清,竹,角,,丁木
20930,倬,江,入,覺,知,開,二,全清,竹,角,,
20931,,江,入,覺,知,開,二,全清,竹,角,,敕角
20932,,江,入,覺,知,開,二,全清,竹,角,,
20933,菿,江,入,覺,知,開,二,全清,竹,角,到,陟孝/都導
20934,剝,江,入,覺,幫,開,二,全清,北,角,,
20935,駮,江,入,覺,幫,開,二,全清,北,角,,
20936,駁,江,入,覺,幫,開,二,全清,北,角,,
20937,,江,入,覺,幫,開,二,全清,北,角,,
20938,,江,入,覺,幫,開,二,全清,北,角,,蒲角
20939,嚗,江,入,覺,幫,開,二,全清,北,角,,孚邈
20940,,江,入,覺,幫,開,二,全清,北,角,,
20941,,江,入,覺,幫,開,二,全清,北,角,,都歷
20942,爆,江,入,覺,幫,開,二,全清,北,角,,北教/補各
20943,,江,入,覺,幫,開,二,全清,北,角,,博報/博木/博沃
20944,,江,入,覺,幫,開,二,全清,北,角,,
20945,,江,入,覺,幫,開,二,全清,北,角,,
20946,,江,入,覺,幫,開,二,全清,北,角,,
20947,趵,江,入,覺,幫,開,二,全清,北,角,,
20948,邈,江,入,覺,明,開,二,次濁,莫,角,,
20949,藐,江,入,覺,明,開,二,次濁,莫,角,,亡沼
20950,,江,入,覺,明,開,二,次濁,莫,角,,
20951,眊,江,入,覺,明,開,二,次濁,莫,角,,莫報
20952,,江,入,覺,明,開,二,次濁,莫,角,,莫教
20953,毣,江,入,覺,明,開,二,次濁,莫,角,,莫卜
20954,瞀,江,入,覺,明,開,二,次濁,莫,角,,莫候
20955,,江,入,覺,明,開,二,次濁,莫,角,,
20956,,江,入,覺,明,開,二,次濁,莫,角,,
20957,雹,江,入,覺,並,開,二,全濁,蒲,角,,
20958,,江,入,覺,並,開,二,全濁,蒲,角,,
20959,,江,入,覺,並,開,二,全濁,蒲,角,,
20960,跑,江,入,覺,並,開,二,全濁,蒲,角,,薄交
20961,,江,入,覺,並,開,二,全濁,蒲,角,,蒲沒
20962,,江,入,覺,並,開,二,全濁,蒲,角,,
20963,,江,入,覺,並,開,二,全濁,蒲,角,,薄巧/普木/防教
20964,,江,入,覺,並,開,二,全濁,蒲,角,,
20965,,江,入,覺,並,開,二,全濁,蒲,角,,
20966,瓝,江,入,覺,並,開,二,全濁,蒲,角,,
20967,瓟,江,入,覺,並,開,二,全濁,蒲,角,,薄交
20968,,江,入,覺,並,開,二,全濁,蒲,角,,
20969,謈,江,入,覺,並,開,二,全濁,蒲,角,,匹角
20970,犦,江,入,覺,並,開,二,全濁,蒲,角,,甫沃
20971,豰,江,入,覺,並,開,二,全濁,蒲,角,,丁木/呼木
20972,窇,江,入,覺,並,開,二,全濁,蒲,角,,
20973,,江,入,覺,並,開,二,全濁,蒲,角,,側角
20974,,江,入,覺,並,開,二,全濁,蒲,角,,北角
20975,懪,江,入,覺,並,開,二,全濁,蒲,角,,
20976,,江,入,覺,並,開,二,全濁,蒲,角,,匹角
20977,璞,江,入,覺,滂,開,二,次清,匹,角,,
20978,,江,入,覺,滂,開,二,次清,匹,角,,蒲角
20979,樸,江,入,覺,滂,開,二,次清,匹,角,,蒲木/博木/薄胡
20980,朴,江,入,覺,滂,開,二,次清,匹,角,,
20981,,江,入,覺,滂,開,二,次清,匹,角,,
20982,,江,入,覺,滂,開,二,次清,匹,角,,普木
20983,墣,江,入,覺,滂,開,二,次清,匹,角,,普木
20984,,江,入,覺,滂,開,二,次清,匹,角,,
20985,颮,江,入,覺,滂,開,二,次清,匹,角,,薄交
20986,鞄,江,入,覺,滂,開,二,次清,匹,角,,薄交/薄巧/防教
20987,謈,江,入,覺,滂,開,二,次清,匹,角,,蒲角
20988,,江,入,覺,滂,開,二,次清,匹,角,,
20989,,江,入,覺,滂,開,二,次清,匹,角,,
20990,,江,入,覺,滂,開,二,次清,匹,角,,
20991,,江,入,覺,滂,開,二,次清,匹,角,,
20992,嚗,江,入,覺,滂,開,二,次清,孚,邈,,孚邈/北角
20993,,江,入,覺,溪,開,二,次清,苦,角,,
20994,毃,江,入,覺,溪,開,二,次清,苦,角,,
20995,愨,江,入,覺,溪,開,二,次清,苦,角,,
20996,搉,江,入,覺,溪,開,二,次清,苦,角,角,
20997,確,江,入,覺,溪,開,二,次清,苦,角,,
20998,碻,江,入,覺,溪,開,二,次清,苦,角,,
20999,,江,入,覺,溪,開,二,次清,苦,角,,
21000,,江,入,覺,溪,開,二,次清,苦,角,,空谷/苦候
21001,觳,江,入,覺,溪,開,二,次清,苦,角,,胡谷
21002,,江,入,覺,溪,開,二,次清,苦,角,,
21003,嶨,江,入,覺,溪,開,二,次清,苦,角,,胡覺
21004,礐,江,入,覺,溪,開,二,次清,苦,角,,胡沃/胡谷/五角/力摘
21005,塙,江,入,覺,溪,開,二,次清,苦,角,,
21006,,江,入,覺,溪,開,二,次清,苦,角,,
21007,,江,入,覺,溪,開,二,次清,苦,角,,
21008,硞,江,入,覺,溪,開,二,次清,苦,角,,苦沃
21009,,江,入,覺,溪,開,二,次清,苦,角,,
21010,埆,江,入,覺,溪,開,二,次清,苦,角,,
21011,,江,入,覺,溪,開,二,次清,苦,角,,
21012,濁,江,入,覺,澄,開,二,全濁,直,角,,
21013,擢,江,入,覺,澄,開,二,全濁,直,角,,
21014,濯,江,入,覺,澄,開,二,全濁,直,角,,直教
21015,鵫,江,入,覺,澄,開,二,全濁,直,角,,都教
21016,嬥,江,入,覺,澄,開,二,全濁,直,角,,徒聊/徒了/徒弔
21017,,江,入,覺,澄,開,二,全濁,直,角,,
21018,鐲,江,入,覺,澄,開,二,全濁,直,角,蜀,
21019,,江,入,覺,澄,開,二,全濁,直,角,,陟玉
21020,,江,入,覺,澄,開,二,全濁,直,角,,
21021,鸀,江,入,覺,澄,開,二,全濁,直,角,,之欲
21022,蠗,江,入,覺,澄,開,二,全濁,直,角,,
21023,鸐,江,入,覺,澄,開,二,全濁,直,角,,
21024,,江,入,覺,澄,開,二,全濁,直,角,,
21025,,江,入,覺,澄,開,二,全濁,直,角,,
21026,,江,入,覺,澄,開,二,全濁,直,角,,
21027,,江,入,覺,澄,開,二,全濁,直,角,,敕角
21028,渥,江,入,覺,影,開,二,全清,於,角,,
21029,握,江,入,覺,影,開,二,全清,於,角,,
21030,偓,江,入,覺,影,開,二,全清,於,角,,
21031,箹,江,入,覺,影,開,二,全清,於,角,,於教
21032,幄,江,入,覺,影,開,二,全清,於,角,,
21033,,江,入,覺,影,開,二,全清,於,角,,
21034,喔,江,入,覺,影,開,二,全清,於,角,,
21035,鷽,江,入,覺,影,開,二,全清,於,角,學,
21036,葯,江,入,覺,影,開,二,全清,於,角,,於略
21037,腛,江,入,覺,影,開,二,全清,於,角,,
21038,,江,入,覺,影,開,二,全清,於,角,,烏谷
21039,齷,江,入,覺,影,開,二,全清,於,角,,
21040,,江,入,覺,影,開,二,全清,於,角,,
21041,,江,入,覺,影,開,二,全清,於,角,,
21042,,江,入,覺,影,開,二,全清,於,角,,居用/九容
21043,,江,入,覺,影,開,二,全清,於,角,,
21044,,江,入,覺,影,開,二,全清,於,角,,古岳/烏酷
21045,搦,江,入,覺,娘,開,二,次濁,女,角,,女厄
