# 晉語
id,太原_聲母,太原_韻母,太原_調值,太原_調類,婁煩_聲母,婁煩_韻母,婁煩_調值,婁煩_調類,清徐_聲母,清徐_韻母,清徐_調值,清徐_調類,文水_聲母,文水_韻母,文水_調值,文水_調類,太谷_聲母,太谷_韻母,太谷_調值,太谷_調類,祁縣_聲母,祁縣_韻母,祁縣_調值,祁縣_調類,平遙_聲母,平遙_韻母,平遙_調值,平遙_調類,孝義_聲母,孝義_韻母,孝義_調值,孝義_調類,臨縣_聲母,臨縣_韻母,臨縣_調值,臨縣_調類,離石_聲母,離石_韻母,離石_調值,離石_調類,汾陽_聲母,汾陽_韻母,汾陽_調值,汾陽_調類,嵐縣_聲母,嵐縣_韻母,嵐縣_調值,嵐縣_調類,石樓_聲母,石樓_韻母,石樓_調值,石樓_調類,隰縣_聲母,隰縣_韻母,隰縣_調值,隰縣_調類,汾西_聲母,汾西_韻母,汾西_調值,汾西_調類,沁縣_聲母,沁縣_韻母,沁縣_調值,沁縣_調類,平順_聲母,平順_韻母,平順_調值,平順_調類,長治_聲母,長治_韻母,長治_調值,長治_調類,長子_聲母,長子_韻母,長子_調值,長子_調類,高平_聲母,高平_韻母,高平_調值,高平_調類,陵川_聲母,陵川_韻母,陵川_調值,陵川_調類,朔州_聲母,朔州_韻母,朔州_調值,朔州_調類,代縣_聲母,代縣_韻母,代縣_調值,代縣_調類,五寨_聲母,五寨_韻母,五寨_調值,五寨_調類,五台_聲母,五台_韻母,五台_調值,五台_調類,忻州_聲母,忻州_韻母,忻州_調值,忻州_調類,天鎮_聲母,天鎮_韻母,天鎮_調值,天鎮_調類,大同_聲母,大同_韻母,大同_調值,大同_調類,山陰_聲母,山陰_韻母,山陰_調值,山陰_調類,平定_聲母,平定_韻母,平定_調值,平定_調類,和順_聲母,和順_韻母,和順_調值,和順_調類,晉城_聲母,晉城_韻母,晉城_調值,晉城_調類,陽城_聲母,陽城_韻母,陽城_調值,陽城_調類
150,f,əŋ,11,平聲,f,̃ə̃,22,平聲,f,ʌ̃,11,平聲,x,uəŋ,22,平聲,f,̃ə̃,22,平聲,x,̃ũm,33,平聲,x,uŋ,13,平聲,x,uŋ,11,平聲,f,əŋ,24,陰平,x,uəŋ,213,陰平,f,əŋ,324,陰平,f,əŋ,324,陰平,x,uŋ,214,陰平,x,uəŋ,41,陰平,f,əŋ,22,陰平,f,əŋ,213,陽平上,f,əŋ,313,陰平,f,əŋ,213,陰平,f,əŋ,213,陰平上,f,əŋ,33,平聲,f,əŋ,33,陰平,f,ə̃,312,陰平上,f,əŋ,213,陰平上,f,̃ə̃,213,陰平上,f,əŋ,214,陰平上,f,əŋ,313,陰平上,f,ɤɣ,31,陰平,f,əɣ,31,陰平,f,ə̃,313,平聲,x,əŋ,313,陰平,x,əŋ,31,陰平,f,oŋ,33,陰平,f,uə̃n,11,陰平
152,f,əŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,f,əŋ,11,平聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,tsʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,l,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,kʰ,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,k,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,k,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,k,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,k,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,m,əŋ,53/11,平/上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,l,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,l,uŋ,11,平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
